"/ual/odom/pose/pose/position/x_x","/ual/odom/pose/pose/position/x_y","/del_uav/KF_pose/x_y"
0.134,0.365020901,0.3606943067,
0.167,0.3657145798,0.3606220805,
0.2,0.3563758731,0.3609689195,
0.234,0.3513900042,0.3507335774,
0.267,0.3480014503,0.3482406427,
0.3,0.3449756205,0.3465463655,
0.334,0.3377156854,0.339467462,
0.367,0.3314180076,0.3302715055,
0.4,0.3161374927,0.3271226666,
0.434,0.3124777973,0.3139164207,
0.467,0.3086059988,0.3065205844,
0.5,0.3091139495,0.3045846852,
0.534,0.310768038,0.3048386605,
0.567,0.3137482107,0.3112316932,
0.6,0.310813427,0.3071557912,
0.634,0.3049159646,0.3056883992,
0.667,0.302252084,0.3027396681,
0.7,0.302916944,0.3014077284,
0.734,0.3048799634,0.3017401588,
0.767,0.2997190952,0.3027216685,
0.8,0.2945904136,0.2945752464,
0.835,0.287443012,0.2920109058,
0.867,0.28572914,0.2828712169,
0.9,0.2855482399,0.2820142812,
0.934,0.2864786386,0.2819238317,
0.967,0.2815685868,0.282389032,
1,0.2774764001,0.2799340066,
1.034,0.2688972652,0.2723219253,
1.067,0.2651596069,0.2624663699,
1.1,0.2583768368,0.260597541,
1.134,0.2544268072,0.2516401674,
1.167,0.2374158651,0.2440991642,
1.2,0.2259088308,0.2300277046,
1.234,0.2193906307,0.2187081987,
1.267,0.212416932,0.2154490986,
1.3,0.2083364278,0.2063962602,
1.334,0.2055491358,0.204356008,
1.367,0.2028907984,0.2029623617,
1.4,0.1930897534,0.2016331926,
1.434,0.1884954423,0.1911666812,
1.467,0.1844202429,0.1833035365,
1.5,0.1808406115,0.1812659367,
1.534,0.1770623326,0.1739101323,
1.567,0.1753389388,0.1720209925,
1.6,0.1711436957,0.1711592955,
1.634,0.1695874482,0.1690616735,
1.667,0.1682073325,0.1682835496,
1.7,0.168116346,0.1675934915,
1.734,0.167836532,0.1675479981,
1.768,0.1629494876,0.1618421027,
1.8,0.160250634,0.1593985805,
1.834,0.1568733305,0.1580491536,
1.867,0.1552063078,0.1507945136,
1.9,0.1498969942,0.1499610023,
1.934,0.1468768716,0.1473063456,
1.967,0.1425588429,0.1402302959,
2,0.1311887205,0.1380712817,
2.034,0.1261204332,0.1268202322,
2.067,0.1210252866,0.1187201002,
2.1,0.1179188043,0.116172527,
2.134,0.1130305976,0.1146192859,
2.167,0.1107973084,0.1121751826,
2.2,0.1111419499,0.1054925497,
2.235,0.1157109514,0.1112308589,
2.267,0.1186261252,0.1135153597,
2.3,0.1210232303,0.1149729467,
2.334,0.1247986555,0.1217374876,
2.367,0.1295425892,0.1236252002,
2.401,0.1325494945,0.1259971671,
2.434,0.1378058046,0.1330666084,
2.469,0.1441993415,0.1356947635,
2.5,0.1580006927,0.1444575205,
