"/ual/odom/pose/pose/position/z_x","/ual/odom/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
0.184,-0.1662724018,-0.1652395576,
0.217,-0.1660538912,-0.1659933725,
0.25,-0.1593194157,-0.1660538912,
0.284,-0.1506147683,-0.1611387761,
0.317,-0.1403736472,-0.1506147683,
0.35,-0.1274251491,-0.1431403497,
0.384,-0.1144110262,-0.123909303,
0.417,-0.08667381108,-0.1144110262,
0.45,-0.07121690363,-0.08133151943,
0.484,-0.0522203818,-0.07005039155,
0.517,-0.03720919415,-0.05618589809,
0.55,-0.02058268897,-0.03426966285,
0.584,-0.009067276493,-0.02213491133,
0.617,0.006300102919,-0.004915683484,
0.65,0.03912121803,0.006300102919,
0.684,0.06164198369,0.04539256326,
0.717,0.1019115597,0.06182920419,
0.75,0.1201820225,0.09121970409,
0.784,0.142198503,0.1211336337,
0.817,0.1603580415,0.1372022253,
0.85,0.2022331655,0.1655717502,
0.884,0.230792433,0.1961340493,
0.917,0.2984310985,0.2401877886,
0.95,0.3356338441,0.2895534484,
0.984,0.3743527234,0.3460939899,
1.017,0.4474258721,0.3743527234,
1.05,0.487908721,0.4583625652,
1.084,0.5397554636,0.487908721,
1.117,0.5508602858,0.5427555003,
1.15,0.5703203082,0.5508602858,
1.184,0.5734726787,0.5711719407,
1.217,0.574616611,0.5734726787,
1.25,0.570078671,0.5743075706,
1.284,0.5598629117,0.570078671,
1.317,0.5557463765,0.5626227625,
1.35,0.5505121946,0.5557463765,
1.384,0.5433129072,0.5519262414,
1.417,0.5342711806,0.5433129072,
1.45,0.5314075351,0.5367138592,
1.484,0.5222817063,0.5305721662,
1.517,0.5145174265,0.5239117368,
1.55,0.5182152987,0.5151567466,
1.584,0.5152137876,0.5178556157,
1.618,0.5081126094,0.5136674582,
1.65,0.5072622299,0.5084847075,
1.684,0.5073311925,0.5072808606,
1.717,0.5146473646,0.5073311925,
1.75,0.5174040198,0.5153920921,
1.784,0.5138508081,0.5174040198,
1.818,0.5026150346,0.5148107304,
1.85,0.4917122722,0.5026150346,
1.884,0.4800295234,0.4946577212,
1.917,0.4534799159,0.4760505393,
1.95,0.4471405149,0.4566734732,
1.984,0.4232748449,0.4434457169,
2.017,0.4071768224,0.4260275059,
2.05,0.3968926072,0.4043984778,
2.084,0.3791817129,0.3968926072,
2.117,0.3517239988,0.383966421,
2.15,0.3398519754,0.3517239988,
2.184,0.3109042346,0.3430592763,
2.217,0.2947426438,0.3109042346,
2.25,0.2773064375,0.299108798,
2.284,0.2407493293,0.2722243633,
2.317,0.2242589742,0.245543385,
2.35,0.2066741884,0.2195083351,
2.384,0.1660234481,0.2066741884,
2.417,0.1660234481,0.1770054981,
2.45,0.1346197575,0.1613394857,
2.484,0.1200054958,0.1384196972,
2.517,0.09248848259,0.1158697694,
2.55,0.08140984178,0.09578664821,
2.584,0.05013765022,0.07720020254,
2.617,0.0356066674,0.0543763878,
2.65,0.01710410044,0.0299777433,
