"/ual/odom/twist/twist/linear/x_x","/ual/odom/twist/twist/linear/x_y","/del_uav/KF_twist/x_y"
0.216,-0.2018159541,-0.1761570654,
0.249,-0.1838206343,-0.1660162667,
0.283,-0.1823141307,-0.1531807122,
0.316,-0.1720325334,-0.1331062772,
0.349,-0.1563614243,-0.1201040864,
0.383,-0.1462125544,-0.1222258255,
0.416,-0.1202081729,-0.1211008787,
0.449,-0.1344516509,-0.1171661879,
0.483,-0.1322017574,-0.0829060356,
0.516,-0.1243323759,-0.07690431481,
0.549,-0.0958120712,-0.09046389785,
0.583,-0.07380862962,-0.1015120294,
0.616,-0.09092779571,-0.0623660991,
0.649,-0.1130240589,-0.02261303279,
0.683,-0.0747321982,-0.01623132139,
0.716,-0.02522606558,-0.07542898675,
0.749,-0.02246264279,-0.08874262189,
0.783,-0.06085797351,-0.09500153982,
0.816,-0.08748524378,-0.08996874044,
0.849,-0.08000307965,-0.03310886695,
0.883,-0.07993748088,-0.01576856829,
0.916,-0.0262177339,-0.007950819235,
0.949,-0.02153713657,0.01378507199,
0.983,-0.005901638469,0.02396349167,
1.016,-0.01242985601,0.01536348547,
1.049,0.02792698334,0.04272473687,
1.083,0.0007269709446,0.05322946396,
1.116,0.02544947373,0.04683980655,
1.149,0.03645892792,0.02782869914,
1.183,0.04367961309,0.03934734363,
1.216,0.01565739828,0.0323878695,
1.249,0.02869468725,0.03479413854,
1.283,0.03477573901,0.02568007847,
1.316,0.03958827708,0.03321137552,
1.349,0.01136015694,0.03325560973,
1.383,0.02642275103,0.03540174258,
1.416,0.02651121945,0.0465473733,
1.449,0.03080348516,0.05566966481,
1.483,0.0430947466,0.0768737659,
1.516,0.06133932962,0.06818671128,
1.549,0.06374753179,0.06531283525,
1.583,0.06637342256,0.04997679632,
1.616,0.0706256705,0.05987923423,
1.649,0.04995359263,0.05468228569,
1.683,0.05975846846,0.06772703455,
1.716,0.04936457138,0.05264195285,
1.749,0.06545406911,0.06071805891,
1.783,0.0552839057,0.07251350964,
1.816,0.05143611783,0.08366235216,
1.849,0.06502701927,0.1034431217,
1.883,0.08732470433,0.09775001435,
1.916,0.1168862434,0.1294714227,
1.949,0.1155000287,0.1501776923,
1.983,0.1389428454,0.1390155597,
2.016,0.1403553846,0.1094801334,
2.049,0.1680311193,0.08491709252,
2.083,0.1389602668,0.07840924959,
2.116,0.119834185,0.04585967047,
2.149,0.09681849917,0.09280189959,
2.183,0.06171934095,0.09739821251,
2.216,0.08560379919,0.09386186327,
2.249,0.114796425,0.09586459119,
2.283,0.1077237265,0.09666443607,
2.316,0.1117291824,0.1152053246,
2.349,0.1033288721,0.1102818402,
2.383,0.1304106492,0.1090471883,
2.416,0.1305636804,0.09815404491,
2.449,0.1280943766,0.09709840992,
2.483,0.1163080898,0.132091406,
2.516,0.1141968198,0.1727947159,
2.549,0.124182812,0.1267875889,
2.583,0.1855894319,0.1267875889,
2.616,0.1716651408,0.1263335881,
2.649,0.1635751779,0.1522563604,
2.683,0.1326671762,0.1778027882,
2.716,0.1445127209,0.1770467297,
2.749,0.1756055765,0.2054467315,
2.783,0.1640934595,0.1913599471,
2.817,0.1908934629,0.1864774363,
2.849,0.1727198942,0.1852854025,
2.883,0.1729548727,0.2130784491,
2.916,0.1705708049,0.2226617628,
2.949,0.1961568982,0.2282235956,
2.983,0.2053235256,0.2199665626,
3.016,0.1964471912,0.2080202092,
3.049,0.1999331253,0.188316854,
3.083,0.1760404185,0.1650504278,
3.116,0.1966337079,0.1466538196,
3.149,0.1601008556,0.140486606,
3.183,0.1533076393,0.1678153676,
3.216,0.140973212,0.1467473789,
3.249,0.1656307352,0.1425299965,
3.283,0.1334947578,0.125375834,
3.316,0.1350599931,0.1262139346,
3.349,0.1207516679,0.1407146945,
3.383,0.1024278691,0.1537068392,
3.416,0.1414293889,0.2018086345,
3.45,0.1274136784,0.2449149445,
3.483,0.1836172689,0.2632752958,
3.516,0.2098298889,0.2596749003,
3.549,0.2765505916,0.2259736756,
3.583,0.2493498005,0.2012577749,
3.616,0.2419473513,0.1692300634,
3.649,0.2025155497,0.1774653767,
3.683,0.1684601268,0.1776298758,
3.716,0.1749307533,0.1498153275,
3.749,0.1852597515,0.1769152658,
3.783,0.1396306551,0.1855998809,
3.816,0.1538305316,0.1770610524,
3.849,0.1611997617,0.1338622053,
3.883,0.1641221048,0.1137067399,
3.916,0.1277244106,0.1221159617,
3.949,0.0974134799,0.09897508068,
3.983,0.1042319233,0.1090811021,
4.016,0.07795016135,0.1078690777,
4.049,0.08816220413,0.120641819,
4.083,0.07573815533,0.1170592343,
4.116,0.09128363806,0.1133419141,
4.149,0.08411846867,0.1328147768,
4.183,0.05668382827,0.1339721243,
4.216,0.09562955362,0.1278437566,
4.249,0.1079442487,0.1095083459,
4.283,0.09568751329,0.1076133628,
4.316,0.07901669182,0.1175287999,
4.349,0.07522672554,0.1136748818,
4.383,0.08505759977,0.08487356603,
4.416,0.08734976368,0.09002920773,
4.449,0.05974713206,0.0869252325,
4.483,0.07005841546,0.08024269398,
4.516,0.05385046501,0.05583087488,
