"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y"
0.103,0.001386493623,0.123,0.0008086172719,0.123,0.2999999999,
0.123,0.001386493623,0.143,0.0008086172702,0.143,0.2999999999,
0.143,0.001386493623,0.163,0.0008086172692,0.163,0.2999999999,
0.163,0.001386493623,0.183,0.0008086172668,0.183,0.2999999999,
0.183,0.001386493623,0.203,0.0008086172652,0.203,0.2999999999,
0.203,0.001386493623,0.223,0.0008086172616,0.223,0.2999999999,
0.223,0.001386493623,0.243,0.0008086172596,0.243,0.2999999999,
0.243,0.001386493623,0.263,0.0008086172582,0.263,0.2999999999,
0.263,0.001386493623,0.283,0.0008086172561,0.283,0.2999999999,
0.283,0.001386493623,0.303,0.0008086172542,0.303,0.2999999999,
0.303,0.001386493623,0.323,0.0008086172516,0.323,0.2999999999,
0.323,0.001386493623,0.343,0.0008086172499,0.343,0.2999999999,
0.343,0.001386493623,0.363,0.0008086172469,0.363,0.2999999999,
0.363,0.001386493624,0.383,0.0008086172466,0.383,0.2999999999,
0.383,0.001386493623,0.403,0.000808617244,0.403,0.2999999999,
0.403,0.001386493623,0.423,0.0008086172429,0.423,0.2999999999,
0.423,0.001386493623,0.443,0.000808617241,0.443,0.2999999999,
0.443,0.001386493623,0.463,0.0008086172394,0.463,0.2999999999,
0.463,0.001386493623,0.483,0.0008086172382,0.483,0.2999999999,
0.483,0.001386493623,0.503,0.0008086172356,0.503,0.2999999999,
0.503,0.001386493623,0.523,0.0008086172334,0.523,0.2999999999,
0.523,0.001386493623,0.543,0.0008086172298,0.543,0.2999999999,
0.543,0.001386493624,0.563,0.0008086172297,0.563,0.2999999999,
0.563,0.001386493623,0.583,0.0008086172269,0.583,0.2999999999,
0.583,0.001386493623,0.603,0.0008086172251,0.603,0.2999999999,
0.603,0.001386493623,0.623,0.0008086172228,0.623,0.2999999999,
0.623,0.001386493623,0.643,0.0008086172206,0.643,0.2999999999,
0.643,0.001386493623,0.663,0.0008086172184,0.663,0.2999999999,
0.663,0.001386493623,0.683,0.0008086172169,0.683,0.2999999999,
0.683,0.001386493623,0.703,0.0008086172165,0.703,0.2999999999,
0.703,0.001386493622,0.723,0.0008086172127,0.723,0.2999999999,
0.723,0.001386493623,0.743,0.000808617212,0.743,0.2999999999,
0.743,0.001386493623,0.763,0.0008086172101,0.763,0.2999999999,
0.763,0.001386493623,0.783,0.0008086172088,0.783,0.2999999999,
0.783,0.001386493623,0.803,0.0008086172071,0.803,0.2999999999,
0.803,0.001386493623,0.823,0.0008086172051,0.823,0.2999999999,
0.823,0.001386493623,0.843,0.0008086172015,0.843,0.2999999999,
0.843,0.001386493624,0.863,0.0008086171983,0.863,0.2999999999,
