"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y"
0.045,0.001817048621,0.045,0.001788799502,0.065,0.3000000001,
0.065,0.001817048443,0.065,0.001788799622,0.085,0.3000000001,
0.085,0.001817047656,0.085,0.001788799857,0.105,0.3000000002,
0.105,0.001817046618,0.105,0.001788800084,0.125,0.3000000002,
0.125,0.001817047117,0.125,0.001788801076,0.145,0.3000000002,
0.145,0.001817047731,0.145,0.001788802349,0.165,0.3000000002,
0.165,0.001817048617,0.165,0.001788803173,0.185,0.3000000002,
0.185,0.001817049627,0.185,0.001788803917,0.205,0.3000000001,
0.205,0.001817050284,0.205,0.001788805714,0.225,0.3000000002,
0.225,0.001817050496,0.225,0.001788806969,0.245,0.3000000002,
0.245,0.00181705124,0.245,0.001788808043,0.265,0.3000000001,
0.265,0.001817052316,0.265,0.001788810134,0.285,0.3000000001,
0.285,0.001817053251,0.285,0.001788812303,0.305,0.2999999999,
0.305,0.001817053444,0.305,0.001788813448,0.325,0.2999903834,
0.325,0.00181471161,0.325,0.001788812118,0.345,0.2999937342,
0.345,0.001814564091,0.345,0.00178630256,0.365,0.2999937338,
0.365,0.001814583343,0.365,0.001786302738,0.385,0.2999937334,
0.385,0.001814598379,0.385,0.00178630784,0.405,0.2999937326,
0.405,0.001814622225,0.405,0.00178632822,0.425,0.2999937313,
0.425,0.001814670221,0.425,0.001786364325,0.445,0.29999373,
0.445,0.001814720409,0.445,0.00178640865,0.465,0.2999937288,
0.465,0.00181476911,0.465,0.001786449232,0.485,0.2999937275,
0.485,0.001814813951,0.485,0.001786488067,0.505,0.2999937261,
0.505,0.001814852362,0.505,0.001786536033,0.525,0.2999937248,
0.525,0.00181488804,0.525,0.001786579899,0.545,0.2999937676,
0.545,0.001814987477,0.545,0.001786606897,0.565,0.2999938834,
0.565,0.001816499017,0.565,0.001787289876,0.585,0.2999959881,
0.585,0.001817017459,0.585,0.00178707131,0.605,0.2999969098,
0.605,0.001818731692,0.605,0.001792999381,0.625,0.299996629,
0.625,0.001825877504,0.625,0.001794633363,0.645,0.2999999999,
0.645,0.001826291112,0.645,0.001792509848,0.665,0.2999973662,
0.665,0.001824783401,0.665,0.001795028873,0.685,0.299994173,
0.685,0.001825356868,0.685,0.001797413014,0.705,0.3000000008,
0.705,0.001828961381,0.705,0.001795605645,0.725,0.3,
0.725,0.001830606615,0.725,0.001796759781,0.745,0.3,
0.745,0.001833752305,0.745,0.001798292088,0.765,0.3,
0.765,0.001836582084,0.765,0.001799883705,0.785,0.2999972091,
0.785,0.001835413633,0.785,0.001798480918,0.805,0.2999987305,
0.805,0.001838349182,0.805,0.00180072572,0.825,0.2999908462,
0.825,0.001840783571,0.825,0.001802159496,0.845,0.3000000001,
0.845,0.001842064828,0.845,0.001803847933,0.865,0.3,
0.865,0.001844260331,0.865,0.001805140911,0.885,0.299997517,
0.885,0.00184368244,0.885,0.001807629487,0.905,0.3,
0.905,0.001847212414,0.905,0.001806696803,0.925,0.3,
0.925,0.00184915453,0.925,0.001808375239,0.945,0.3,
0.945,0.00185123043,0.945,0.001809750264,0.965,0.3000000001,
0.965,0.001852993454,0.965,0.001810679132,0.985,0.3,
0.985,0.001854694658,0.985,0.001811832504,1.005,0.3,
1.005,0.001857518949,1.005,0.001813884068,1.025,0.3,
1.025,0.001860139079,1.025,0.001815961998,1.045,0.3,
1.045,0.001862603584,1.045,0.001817998928,1.065,0.3,
1.065,0.001865053459,1.065,0.001820246376,1.085,0.3,
1.085,0.001867349609,1.085,0.001822214817,1.105,0.3,
1.105,0.001869907563,1.105,0.001823961087,1.125,0.3,
1.125,0.001872792805,1.125,0.001825211364,1.145,0.3,
1.145,0.001875344726,1.145,0.001826531714,1.165,0.3,
1.165,0.001878019012,1.165,0.001828195138,1.185,0.3,
1.185,0.001880633326,1.185,0.001830108174,1.205,0.3,
1.205,0.001882950579,1.205,0.001831754512,1.225,0.3,
1.225,0.001885578734,1.225,0.001833363588,1.245,0.3,
1.245,0.001888132204,1.245,0.001835284354,1.265,0.3,
1.265,0.001890254351,1.265,0.001837148709,1.285,0.3000000001,
1.285,0.001892404486,1.285,0.001838832336,1.305,0.3000000001,
1.305,0.001894733529,1.305,0.001840515951,1.325,0.3,
1.325,0.001896850618,1.325,0.001841982961,1.345,0.3,
1.345,0.001898772836,1.345,0.001843676116,1.365,0.3,
1.365,0.001899931567,1.365,0.001844596194,1.385,0.3000000002,
1.385,0.001901217715,1.385,0.001845813866,1.405,0.3000000001,
1.405,0.00190396081,1.405,0.001847483067,1.425,0.3,
