"/ual/velocity/twist/linear/x_x","/ual/velocity/twist/linear/x_y","/uav_ground_truth/twist/twist/linear/x_y"
12.736,0.2249235511,0.002008273889,
12.767,0.2247624397,-0.01010432584,
12.804,0.2344660014,-0.001541566203,
12.84,0.2323356718,-0.01380801439,
12.875,0.1509180069,0.0002203976628,
12.906,0.119947575,0.02685956053,
12.941,0.1167893857,-0.01371085904,
12.965,0.09939581901,-0.008415156539,
13.007,0.1697212011,-0.005520373315,
13.025,0.1986976117,0.01239532302,
13.076,0.2390226871,0.006076546819,
13.106,0.2441726029,-0.01449784644,
13.136,0.2654393315,-0.01048273056,
13.169,0.2390448302,0.0002790947577,
13.203,0.2973663509,0.002102189359,
13.241,0.3363546431,-0.0001487160813,
13.273,0.3372856677,0.01166753361,
13.307,0.3552226126,-0.01251350436,
13.336,0.3648739159,-0.003341791906,
13.367,0.3747645319,-0.0023976486,
13.408,0.3628524244,0.006333015207,
13.441,0.3662095368,-0.001950992942,
13.468,0.3675988913,0.004288502348,
13.502,0.3684523106,0.001255168968,
13.532,0.3928582668,0.00948567453,
13.557,0.3682616353,0.01421734474,
13.606,0.3638822436,0.007064008747,
13.64,0.3500709534,0.002312816159,
13.669,0.3439890444,0.002648648534,
13.7,0.3367634416,-0.0002108822323,
13.729,0.3263780475,-0.0131722467,
13.767,0.2890658379,-0.01425368737,
13.793,0.2445507646,-0.002545342194,
13.839,0.2198169529,0.0005416455639,
13.87,0.1951943189,-0.00381023936,
13.897,0.2026417106,-0.007670127301,
13.942,0.1594087332,-0.003220550245,
13.961,0.1740042418,-0.006182558125,
14.007,0.1157959178,-0.001552494937,
14.025,0.1070461869,0.005360806098,
14.064,0.08342506737,-0.007950905787,
14.103,0.002422433114,-0.01367931666,
14.131,0.02820991166,-0.01774828968,
14.159,-0.03232798725,-0.004709256223,
14.208,0.008507576771,0.009503457919,
14.242,-0.03060241044,0.003906541567,
14.269,-0.001870112494,0.01043433042,
14.309,0.05829700083,-0.007145319013,
14.32,0.04585244507,-0.001048813622,
14.366,0.03613778949,-0.009511453068,
14.406,-0.01092110947,-0.01272250854,
14.432,-0.04130998626,-0.008277087835,
14.461,-0.04299718514,-0.002362990207,
14.495,-0.08381055295,0.004665975368,
14.529,-0.02133141831,0.01078755913,
14.56,-0.07626355439,0.00199299826,
14.592,-0.1000880823,-0.002683939605,
14.639,-0.1256965548,0.007447623616,
14.662,-0.175778836,-0.003229321647,
14.7,-0.1888716966,0.008770063661,
14.739,-0.1610272974,0.01335833993,
14.77,-0.1539591998,0.01791062843,
14.806,-0.1742930114,-0.003345064281,
14.839,-0.2050979435,0.003537534662,
14.871,-0.1812061816,0.005243259854,
14.901,-0.1475055218,-0.01826725885,
14.932,-0.16175282,0.02233773332,
14.968,-0.1221105084,0.01095115398,
15.008,-0.1427720934,0.01176195288,
15.036,-0.1721514165,0.003144671798,
15.067,-0.1939510107,0.001381516027,
15.105,-0.2119570524,0.03726914453,
15.127,-0.1830346733,0.01685589995,
15.16,-0.2085419595,0.001134381985,
15.192,-0.2564740181,-0.01767021603,
15.24,-0.2879415751,-0.003691877202,
15.273,-0.302839756,0.01658772338,
15.301,-0.3277808428,-0.003326091218,
15.337,-0.3409502506,-0.003478452248,
15.368,-0.3737098575,0.01303317615,
15.396,-0.3395745456,-0.01598600797,
15.429,-0.2998746037,-0.008482265402,
15.473,-0.3017671406,-0.02035782192,
15.502,-0.2399518043,0.0007927225897,
15.539,-0.2316743433,0.002649897139,
15.57,-0.2923301756,-0.003587262357,
15.596,-0.2679261267,-0.007709141775,
15.635,-0.3019841909,-0.01380137634,
15.661,-0.3174698651,-0.002537759017,
15.702,-0.3452929556,0.005597359116,
15.735,-0.3879599571,0.003083960811,
15.775,-0.3743925691,0.009287613588,
15.808,-0.3805218339,0.00259292948,
15.839,-0.426990062,-0.01033816843,
15.872,-0.3733226359,-0.01109347222,
15.908,-0.3889302015,-0.001192534837,
15.939,-0.333930105,-0.003336845551,
15.976,-0.3641068339,-0.01721705416,
15.992,-0.3591384292,-0.006998317342,
16.032,-0.2789345682,-0.01416010185,
16.073,-0.277692914,-0.01691214467,
16.091,-0.3236492574,-0.009236954646,
16.14,-0.2744719684,0.002210010251,
16.174,-0.2939760685,-0.004347031795,
16.208,-0.3033793867,-0.0007569273737,
16.24,-0.3060429692,-0.002424666505,
16.265,-0.2989055812,0.005505444053,
16.308,-0.2853049934,-0.006581503161,
16.336,-0.3271618187,0.00355276881,
16.369,-0.3043351173,-0.0112907435,
16.396,-0.2950897217,0.000132312157,
