"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_y"
0.344,1.271245232e-06,0.0009253432898,0.1273918599,
0.364,3.583360981e-06,0.0009157985208,0.1227094382,
0.384,5.671402828e-06,0.0009062537521,0.109340176,
0.404,7.613437259e-06,-0.001138029361,0.09715554118,
0.424,9.634467454e-06,-0.001147811554,0.08453124762,
0.444,1.165359086e-05,-6.001911977e-05,0.07977825403,
0.464,1.392950656e-05,-6.001911984e-05,0.06880289316,
0.484,1.619476808e-05,-7.991944411e-05,0.05798362568,
0.504,1.840745678e-05,-7.991944419e-05,0.05235814303,
0.524,2.036172128e-05,-0.001162838066,0.04449340701,
0.544,2.238101401e-05,-0.001184529508,0.04011610895,
0.564,2.426468938e-05,-0.0005076688024,0.02303419076,
0.584,2.621641388e-05,-0.0005177952413,0.01723963767,
0.604,2.847315824e-05,-0.0005279216803,0.0125617208,
0.624,3.016346981e-05,-0.0005279216803,0.004078845959,
0.644,3.18594103e-05,-0.0005177952412,0.01334992331,
0.664,3.324429142e-05,0.0004137355625,0.01796260662,
0.684,3.501432415e-05,0.0004137355625,0.0221231468,
0.704,3.68684087e-05,0.0004236201893,0.02186255716,
0.724,3.886975356e-05,0.0001220031468,0.02317715064,
0.744,4.204739314e-05,0.0001327837509,0.02238928527,
0.764,4.381844095e-05,-5.60537158e-05,0.02284022048,
0.784,4.532280246e-05,-6.64305994e-05,0.02211707458,
0.804,4.584149324e-05,-0.0007119331298,0.02286331169,
0.824,4.59877486e-05,-0.0007119331297,0.02620116435,
0.844,4.599893485e-05,-0.0007119331297,0.02772770263,
0.864,4.596321113e-05,-0.0005825098098,0.0284683276,
0.884,4.593616271e-05,-0.0005722059662,0.03367147595,
0.904,4.591666528e-05,-0.0007320358642,0.03922311217,
0.924,4.5890877e-05,-0.0007217985263,0.04481847212,
0.944,4.586103e-05,-0.0007217985261,0.04684334621,
0.964,4.584493839e-05,-0.0007217985259,0.04988716915,
0.984,4.584570215e-05,-0.0007217985257,0.05078881234,
1.004,4.584817825e-05,-0.0007217985254,0.04873305559,
1.024,4.584159654e-05,0.0008400382026,0.04859130085,
1.044,4.582373359e-05,0.0008400382027,0.04937422648,
1.064,4.581376094e-05,0.0008400382032,0.0500680618,
1.084,4.580147538e-05,0.0001240587066,0.05235718563,
1.104,4.577178028e-05,0.0001240587067,0.05219015107,
1.124,4.57182024e-05,0.0001240587069,0.0495403409,
1.144,4.565940204e-05,0.000124058707,0.04546058178,
1.164,4.559365681e-05,0.0001135483103,0.04272168502,
1.184,4.55406095e-05,-0.0005821308482,0.04230389372,
1.204,4.55113563e-05,-0.0005821308483,0.04155503958,
1.224,4.549016621e-05,-0.0005821308483,0.0382174328,
1.244,4.546445089e-05,-0.0001826970611,0.03372631967,
1.264,4.544047106e-05,-0.0001826970612,0.03015244752,
1.284,4.543055796e-05,-0.00019293976,0.02215842716,
1.304,4.543094185e-05,-0.00019293976,0.01896794327,
1.324,4.543093543e-05,-0.0008546441548,0.01249126438,
1.344,4.542007706e-05,-0.0004429827155,0.006562386639,
1.364,4.540595268e-05,-0.0004429827155,0.003467469011,
1.384,4.539793151e-05,-0.0004429827155,-0.003776244121,
1.404,4.538486995e-05,-0.0004535542344,-0.01090984419,
1.424,4.535417578e-05,-0.0002430818467,-0.01824161224,
