"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
0.318,0.2999959457,-0.0403031446,-0.05369798794,
0.338,0.2999959486,-0.01493925229,-0.01335624288,
0.358,0.2999959505,-0.003107656725,-0.01338622274,
0.378,0.2999959583,-0.006375099998,-0.005710520305,
0.398,0.2999959602,-0.01257970277,-0.01342999559,
0.418,0.2999959662,-0.02061991952,-0.01346553482,
0.438,0.2999959635,-0.03442869708,-0.03093338121,
0.458,0.2999959665,-0.04189861938,-0.03095601952,
0.478,0.2999959744,-0.05575738102,-0.05015326399,
0.498,0.2999959891,-0.07502138615,-0.05015326399,
0.518,0.2999959798,-0.08423599601,-0.07578592541,
0.538,0.2999959786,-0.0986026898,-0.07644571879,
0.558,0.2999959963,-0.1017823592,-0.09237014352,
0.578,0.2999959905,-0.09817438573,-0.08850613426,
0.598,0.2999959905,-0.09529069811,-0.08850613426,
0.618,0.2999959883,-0.09005265683,-0.06843603047,
0.638,0.2999959934,-0.05755574256,-0.06843603047,
0.658,0.2999959954,-0.008185046725,-0.007368426576,
0.678,0.2999959919,0.04551257938,0.06874966798,
0.698,0.2999959954,0.1017215252,0.06874966798,
0.718,0.2999959953,0.1196881309,0.1317802626,
0.738,0.299995999,0.1684925109,0.1328764166,
0.758,0.2999960043,0.2098528743,0.1903470686,
0.778,0.2999960086,0.2445992529,0.2210619932,
0.798,0.299996013,0.2481432706,0.2210619932,
0.818,0.2999957977,0.2516586185,0.2284925608,
0.838,0.29999542,0.256647408,0.2284925608,
0.858,0.2999952828,0.2632717788,0.2390367685,
0.878,0.2999952201,0.2810690999,0.2648675458,
0.898,0.2999951994,0.3062207401,0.2648675458,
0.918,0.2999951932,0.339596957,0.3065261827,
0.938,0.2999951926,0.3738617599,0.3065261827,
0.958,0.2999951939,0.3935461044,0.3552206576,
0.978,0.2999951954,0.4343509376,0.4111249145,
0.998,0.2999951972,0.4761865735,0.4111249145,
1.018,0.2999951992,0.5176203847,0.4672100441,
1.038,0.2999952009,0.5333562493,0.4675494129,
1.058,0.2999952022,0.5752032995,0.5195607342,
1.078,0.2999952035,0.6000419259,0.5195607342,
1.098,0.299995205,0.6537736058,0.5915921782,
1.118,0.2999952065,0.6715490818,0.5915921782,
1.138,0.2999952078,0.7057446241,0.6386203072,
1.158,0.2999952095,0.7266520262,0.6386203072,
1.178,0.2999952118,0.7387548685,0.6659003533,
1.198,0.2999952145,0.7522464395,0.6829827428,
1.218,0.299995217,0.7525271773,0.6829827428,
