"/del_uav/KF_sigma/pos_cov/x_x","/del_uav/KF_sigma/pos_cov/x_y"
0.395,8.66666429e-06,
0.429,8.66666429e-06,
0.464,8.451692168e-06,
0.494,8.451692168e-06,
0.529,8.451692168e-06,
0.561,8.631974812e-06,
0.594,8.631974812e-06,
0.627,8.631974812e-06,
0.667,8.846693315e-06,
0.697,8.846693315e-06,
0.727,8.998599233e-06,
0.761,8.998599233e-06,
0.801,8.998599233e-06,
0.828,8.998599233e-06,
0.861,9.808513521e-06,
0.896,9.808513521e-06,
0.953,9.158018306e-06,
0.964,9.158018306e-06,
0.999,9.158018306e-06,
1.027,9.158018306e-06,
1.064,9.158018306e-06,
1.094,8.93933095e-06,
1.128,8.93933095e-06,
1.161,8.93933095e-06,
1.194,9.749623252e-06,
1.227,9.749623252e-06,
1.261,9.384511715e-06,
1.294,9.384511715e-06,
1.323,9.854333609e-06,
1.363,9.854333609e-06,
1.394,9.854333609e-06,
1.428,9.318456508e-06,
1.461,9.318456508e-06,
1.501,9.258310825e-06,
1.528,9.258310825e-06,
1.564,9.258310825e-06,
1.596,9.258310825e-06,
1.632,9.258310825e-06,
1.661,9.258310825e-06,
1.695,9.326382694e-06,
1.727,9.326382694e-06,
1.761,9.326382694e-06,
1.798,9.505255857e-06,
1.832,9.505255857e-06,
1.864,9.505255857e-06,
1.894,9.505255857e-06,
1.928,9.505255857e-06,
1.961,9.849836217e-06,
2.002,9.849836217e-06,
2.047,9.849836217e-06,
2.047,9.263158674e-06,
2.094,9.263158674e-06,
2.127,9.263158674e-06,
2.162,9.263158674e-06,
2.193,9.446580388e-06,
2.224,9.560533134e-06,
2.264,9.560533134e-06,
2.294,9.560533134e-06,
2.328,9.560533134e-06,
2.362,9.618142244e-06,
2.396,9.618142244e-06,
2.432,9.618142244e-06,
2.462,9.618142244e-06,
2.494,9.020002489e-06,
2.528,9.020002489e-06,
2.56,9.676806759e-06,
2.594,9.676806759e-06,
2.625,9.676806759e-06,
2.658,9.52323962e-06,
2.694,9.52323962e-06,
2.727,9.52323962e-06,
2.761,9.52323962e-06,
2.794,9.400829352e-06,
2.827,9.400829352e-06,
2.861,9.400829352e-06,
2.895,9.674423261e-06,
2.927,9.674423261e-06,
2.949,9.674423261e-06,
2.991,9.674423261e-06,
3.028,9.674423261e-06,
3.061,9.549497777e-06,
3.094,9.918437611e-06,
3.124,9.918437611e-06,
3.164,9.918437611e-06,
3.198,9.444577341e-06,
3.226,9.444577341e-06,
3.257,9.162015052e-06,
3.294,9.162015052e-06,
3.327,9.162015052e-06,
3.363,9.162015052e-06,
3.407,8.704529376e-06,
3.43,8.704529376e-06,
3.462,9.573160265e-06,
3.498,9.573160265e-06,
3.529,9.573160265e-06,
3.561,9.573160265e-06,
3.595,1.002506808e-05,
3.626,1.002506808e-05,
3.66,1.65388731e-05,
3.694,1.65388731e-05,
3.729,1.65388731e-05,
3.77,1.65388731e-05,
3.795,4.640110923e-05,
3.827,4.640110923e-05,
3.86,4.640110923e-05,
3.894,4.640110923e-05,
3.934,4.257821908e-05,
3.961,4.257821908e-05,
3.994,4.257821908e-05,
4.026,3.415023208e-05,
4.06,3.415023208e-05,
4.095,3.415023208e-05,
4.127,4.75766897e-05,
4.163,4.75766897e-05,
4.194,4.75766897e-05,
4.228,4.75766897e-05,
4.262,5.315123059e-05,
4.294,5.315123059e-05,
4.327,5.315123059e-05,
4.362,5.579732623e-05,
4.396,5.579732623e-05,
4.428,5.579732623e-05,
4.465,5.481070765e-05,
4.493,0.009999994999,
4.531,0.009999994999,
4.563,0.009999994999,
4.597,0.009999994999,
4.629,0.009999994999,
4.662,0.009999994999,
4.695,0.0002149069835,
4.741,0.0002149069835,
4.769,0.0002149069835,
4.796,0.0002149069835,
4.827,2.387688205e-05,
4.867,2.387688205e-05,
4.897,2.387688205e-05,
4.928,2.387688205e-05,
4.967,4.065477629e-05,
4.995,4.065477629e-05,
5.036,4.065477629e-05,
5.067,5.332899996e-05,
5.097,5.332899996e-05,
5.133,5.332899996e-05,
5.168,5.332899996e-05,
5.217,2.509258637e-05,
5.227,2.509258637e-05,
5.261,2.509258637e-05,
5.294,2.509258637e-05,
5.327,3.480797387e-05,
5.361,3.480797387e-05,
5.405,3.480797387e-05,
5.427,3.480797387e-05,
5.462,2.270603531e-05,
5.496,2.270603531e-05,
5.528,1.045737082e-05,
5.565,1.045737082e-05,
5.601,1.045737082e-05,
5.634,1.045737082e-05,
5.664,1.045737082e-05,
5.696,1.738091172e-05,
5.727,1.738091172e-05,
5.762,1.738091172e-05,
5.794,1.738091172e-05,
5.828,1.738091172e-05,
5.862,3.080343898e-05,
5.895,3.080343898e-05,
5.927,3.080343898e-05,
5.96,3.080343898e-05,
5.993,3.080343898e-05,
6.028,2.583339023e-05,
6.061,2.583339023e-05,
6.094,2.583339023e-05,
6.134,2.583339023e-05,
6.161,2.583339023e-05,
6.192,3.042248078e-05,
6.229,3.042248078e-05,
6.262,3.042248078e-05,
6.295,2.359214299e-05,
6.326,2.359214299e-05,
6.362,2.359214299e-05,
6.399,2.932930561e-05,
6.437,2.932930561e-05,
6.465,2.932930561e-05,
6.495,2.932930561e-05,
6.528,2.684464414e-05,
6.566,2.684464414e-05,
6.597,1.913243302e-05,
6.628,1.913243302e-05,
6.658,1.913243302e-05,
6.695,2.853634575e-05,
6.728,2.853634575e-05,
6.762,2.853634575e-05,
6.794,2.853634575e-05,
6.828,2.834764618e-05,
6.863,2.834764618e-05,
6.902,2.834764618e-05,
6.927,2.834764618e-05,
6.962,2.834764618e-05,
6.987,2.903864726e-05,
7.027,2.903864726e-05,
7.065,2.903864726e-05,
7.094,3.971327069e-05,
7.14,3.971327069e-05,
7.173,3.971327069e-05,
7.201,3.971327069e-05,
7.238,2.829598364e-05,
7.263,2.829598364e-05,
7.302,2.829598364e-05,
7.335,3.14135498e-05,
7.368,3.14135498e-05,
7.4,3.14135498e-05,
7.428,3.14135498e-05,
7.461,6.49215079e-05,
7.493,6.49215079e-05,
7.528,6.49215079e-05,
7.565,5.202872355e-05,
7.603,5.202872355e-05,
7.629,5.202872355e-05,
7.663,5.66766907e-05,
7.707,5.66766907e-05,
7.742,5.66766907e-05,
7.774,5.66766907e-05,
7.798,4.952309549e-05,
7.842,4.952309549e-05,
7.874,4.952309549e-05,
7.908,4.731628979e-05,
7.931,4.731628979e-05,
7.966,4.731628979e-05,
7.998,4.731628979e-05,
8.033,4.147448912e-05,
8.061,4.147448912e-05,
8.094,4.147448912e-05,
8.129,3.003769337e-05,
8.162,3.003769337e-05,
8.195,3.003769337e-05,
8.228,3.003769337e-05,
8.262,3.003769337e-05,
8.295,4.687969256e-05,
8.329,4.687969256e-05,
8.371,4.687969256e-05,
8.416,4.687969256e-05,
8.443,6.206555513e-05,
8.462,6.206555513e-05,
8.495,6.206555513e-05,
8.527,6.206555513e-05,
8.561,6.206555513e-05,
8.595,6.206555513e-05,
8.629,4.105362216e-05,
8.671,4.105362216e-05,
8.697,4.105362216e-05,
8.73,4.105362216e-05,
8.762,6.099203118e-05,
8.794,6.099203118e-05,
8.836,6.099203118e-05,
8.861,4.018452423e-05,
8.893,4.018452423e-05,
8.927,4.018452423e-05,
8.962,4.018452423e-05,
8.991,3.149126704e-05,
9.032,3.149126704e-05,
9.062,3.149126704e-05,
9.094,3.149126704e-05,
9.128,6.537233898e-05,
9.163,6.537233898e-05,
9.193,6.537233898e-05,
9.226,6.537233898e-05,
9.261,5.484961328e-05,
9.294,5.484961328e-05,
9.335,5.484961328e-05,
9.362,5.484961328e-05,
