"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_x","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_x","/ual/pose/pose/position/y_y"
0.367,0.000620399962,0.381,0.002754501694,0.391,0.0662785694,
0.387,0.0006222721114,0.406,0.002754501694,0.431,0.06491355598,
0.407,0.0006242476403,0.438,0.0009091234724,0.473,0.06342024356,
0.427,0.0006261001091,0.473,0.0009091234723,0.494,0.0631653294,
0.447,0.0006280786218,0.507,0.0009091234722,0.535,0.05951642618,
0.467,0.0006297523435,0.54,0.0009091234721,0.554,0.05785863474,
0.487,0.0006313698204,0.578,0.0009091234719,0.6,0.05132765323,
0.507,0.0006328556998,0.609,0.001844825771,0.639,0.03278077766,
0.527,0.0006344111934,0.643,0.001835312906,0.656,0.02471987903,
0.547,0.0006357773292,0.681,0.001816287175,0.694,0.004815163091,
0.567,0.0006372188453,0.706,0.0007342121187,0.737,-0.01437807549,
0.587,0.0006380076607,0.745,0.0007342121187,0.76,-0.02416321449,
0.607,0.0006435714678,0.773,0.0007171915861,0.804,-0.03926480189,
0.627,0.0006447735367,0.808,0.0007086813199,0.824,-0.0437136814,
0.647,0.0006399968268,0.854,0.0007086813199,0.864,-0.04603674263,
0.667,0.0006413510318,0.876,0.001706617392,0.906,-0.04882240668,
0.687,0.0006425550216,0.909,0.001706617392,0.942,-0.04922320694,
0.707,0.0006436585952,0.94,0.001406002298,0.964,-0.04933838919,
0.727,0.000644666457,0.973,0.001406002298,0.998,-0.05342877656,
0.747,0.0006456299739,1.006,0.001406002298,1.038,-0.05405961722,
0.767,0.0006466467265,1.036,0.001406002298,1.059,-0.05523224175,
0.787,0.0006476280323,1.066,0.001002712934,1.094,-0.0581384562,
0.807,0.000648585591,1.104,0.0009934902429,1.126,-0.06244525313,
0.827,0.0006521252956,1.138,0.0009934902428,1.159,-0.06736142188,
0.847,0.0006557191225,1.173,0.001613888814,1.194,-0.07195771486,
0.867,0.0006567576766,1.205,0.001613888814,1.235,-0.07236924022,
0.887,0.0006577438386,1.24,0.001613888814,1.253,-0.0755128637,
0.907,0.0006587542728,1.274,0.001969542824,1.307,-0.08212751895,
0.927,0.0006595916848,1.307,0.001959748664,1.342,-0.08844842017,
0.947,0.0006605414972,1.338,0.001959748664,1.373,-0.0974464938,
0.967,0.0006617696499,1.373,0.0006156391958,1.405,-0.1077975854,
0.987,0.0006630572297,1.407,0.0006068733031,1.438,-0.1051790044,
1.007,0.0006651135991,1.439,0.0006068733026,1.452,-0.1041093692,
1.027,0.0006611310918,1.482,0.001710176444,1.509,-0.1124104559,
1.047,0.0006641416981,1.507,0.001710176444,1.525,-0.1164261177,
1.067,0.0006654637156,1.541,0.001700577181,1.559,-0.1266154796,
1.087,0.0006643446221,1.574,0.001281361898,1.59,-0.1394135505,
1.107,0.0006653515954,1.606,0.001271688978,1.629,-0.1447223425,
1.127,0.0006666403465,1.639,0.001235010972,1.662,-0.1376192719,
1.147,0.0006699545279,1.67,0.001235010972,1.709,-0.1359659582,
1.167,0.0006712793384,1.705,0.001235010972,1.742,-0.1393206567,
1.187,0.0006687583922,1.74,0.001235010972,1.757,-0.1423914433,
1.207,0.0006700673436,1.786,0.0003601217493,1.797,-0.1491420418,
1.227,0.0006715183535,1.808,0.0003506301344,1.839,-0.1380642205,
1.247,0.0006730378795,1.84,0.0003601217492,1.872,-0.1305607259,
1.267,0.0006743566694,1.874,0.000369613364,1.907,-0.1276625842,
1.287,0.0006758050305,1.904,0.0003696133639,1.941,-0.1285436749,
1.307,0.0006773512085,1.94,0.0003696133637,1.957,-0.130779162,
1.327,0.0006787766283,1.972,0.0005617968689,2.009,-0.1312150061,
1.347,0.0006817968934,2.006,0.00055221266,2.042,-0.1207766756,
1.367,0.0006831981126,2.04,0.0005617968691,2.06,-0.1184839383,
1.387,0.0006835288507,2.081,0.001517979861,2.102,-0.1156304628,
1.407,0.0006865283159,2.106,0.001517979861,2.14,-0.1128375083,
1.427,0.000685598659,2.139,0.001517979861,2.16,-0.1135940105,
1.447,0.0006864568819,2.174,0.001517979861,2.19,-0.1127695441,
1.467,0.0006871780381,2.206,0.002081330527,2.229,-0.1115234867,
1.487,0.0006883576387,2.24,0.002091090843,2.253,-0.1047698632,
1.507,0.0006896995707,2.274,0.002091090843,2.298,-0.09593464434,
1.527,0.0006912895479,2.306,0.002037629019,2.337,-0.09128148109,
1.547,0.0006929598688,2.343,0.002037629019,2.358,-0.09192854166,
1.567,0.0006943783333,2.379,0.002037629019,2.402,-0.09718940407,
1.587,0.0006957372356,2.411,0.002037629019,2.423,-0.09996035695,
1.607,0.0006970828691,2.458,0.0006812559114,2.474,-0.09193303436,
1.627,0.0006984114116,2.474,0.0006909597668,2.494,-0.09018550068,
1.647,0.0006998532037,2.506,0.0007006636222,2.53,-0.08409970999,
1.667,0.00070062573,2.539,0.001696225313,2.564,-0.08147794008,
1.687,0.0007025978625,2.574,0.001696225313,2.593,-0.08001904935,
1.707,0.0007038404209,2.609,0.001696225313,2.627,-0.07794365287,
1.727,0.0007047363417,2.643,0.001675052832,2.662,-0.06421885639,
1.747,0.000705407337,2.673,0.001694159709,2.697,-0.05906376988,
1.767,0.0007071123255,2.706,0.001556001475,2.742,-0.05424777418,
1.787,0.0007088015321,2.75,0.001566207868,2.774,-0.05449853092,
1.807,0.0007104913266,2.775,0.001566207868,2.807,-0.05105534196,
1.827,0.0007121514196,2.807,0.001566207868,2.824,-0.04610784724,
1.847,0.0007138864151,2.84,0.002477462922,2.864,-0.0369521603,
1.867,0.0007159691314,2.874,0.002486960788,2.905,-0.02602909133,
1.887,0.0007183725245,2.906,0.002496458654,2.939,-0.01835623011,
1.907,0.0007202844214,2.94,0.00250595652,2.973,-0.009746032767,
