"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_x","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_x","/ual/pose/pose/position/y_y"
0.216,0.0008636573418,0.252,0.01091438802,0.238,-0.01576875895,
0.236,0.000866519098,0.29,0.008507587662,0.268,-0.01619388722,
0.256,0.0008697487157,0.319,0.006326235383,0.288,-0.01515353192,
0.276,0.000872947003,0.353,0.005403968773,0.338,-0.01072200481,
0.296,0.0008762702643,0.381,0.00456444771,0.36,-0.008713114075,
0.316,0.0008799945301,0.418,0.003804349001,0.386,-0.006220204756,
0.336,0.0008834220155,0.448,0.002648358469,0.438,-0.004166976083,
0.356,0.0008866842067,0.471,0.001603091957,0.471,-0.002951873234,
0.376,0.0008895515337,0.525,0.0006713435703,0.502,-0.002623493085,
0.396,0.0008924837132,0.55,-0.0001705883411,0.537,-0.001384507981,
0.416,0.0008959834121,0.577,-0.0009149932168,0.555,-0.000637405552,
0.436,0.0008994002123,0.617,-0.001574937748,0.598,-0.0006971994299,
0.456,0.0009027698829,0.653,-0.0004089993779,0.633,0.0003628749982,
0.476,0.0009060891169,0.688,0.0006367761962,0.665,0.001120729838,
0.496,0.0009092777915,0.719,0.001582239426,0.686,0.00231948751,
0.516,0.0009123370087,0.754,0.001174256119,0.723,0.007073459681,
0.536,0.0009153924974,0.785,0.00185277878,0.771,0.01674731076,
0.556,0.0009184941081,0.82,0.003518279469,0.804,0.02413435653,
0.576,0.0009215703695,0.852,0.004958546419,0.825,0.02782864124,
0.596,0.0009255598191,0.885,0.007314264173,0.858,0.03307193145,
0.616,0.0009293839112,0.919,0.009445998339,0.894,0.0388452895,
0.636,0.0009313670499,0.952,0.01262217674,0.929,0.04124711826,
0.656,0.0009298492185,0.986,0.016538804,0.961,0.04462978616,
0.676,0.0009355333923,1.017,0.02008199886,0.996,0.04935129732,
0.696,0.0009385757549,1.049,0.02218375969,1.03,0.05364563689,
0.716,0.0009418291101,1.085,0.02513752164,1.068,0.05829237774,
0.736,0.0009452708796,1.118,0.02676349224,1.101,0.05442085117,
0.756,0.0009484187199,1.153,0.02761200732,1.133,0.0539249666,
0.776,0.0009517313901,1.186,0.02837965882,1.171,0.05433834717,
0.796,0.0009551329788,1.219,0.03012390919,1.202,0.05554848909,
0.816,0.0009583751094,1.252,0.03370601973,1.234,0.06061324105,
0.836,0.0009617321455,1.287,0.03694762434,1.264,0.0662361905,
0.856,0.000964955211,1.317,0.03853487464,1.299,0.06589914113,
0.876,0.0009682132443,1.354,0.04102479049,1.338,0.06785067916,
0.896,0.000971762217,1.39,0.04327807415,1.358,0.07071651518,
0.916,0.0009754002142,1.422,0.04570736424,1.406,0.07703261822,
0.936,0.0009786652101,1.452,0.04895758828,1.424,0.08049368858,
0.956,0.0009820191753,1.485,0.0518980755,1.457,0.08875481784,
0.976,0.0009853533993,1.516,0.05291958659,1.492,0.08489729464,
0.996,0.0009881609787,1.553,0.05384410599,1.539,0.07885713875,
1.016,0.0009898717458,1.586,0.05363296702,1.562,0.07516174763,
1.036,0.000995118227,1.621,0.05344230617,1.588,0.0719537288,
1.056,0.0009980391749,1.654,0.05327170236,1.634,0.06750582904,
1.076,0.001001070076,1.684,0.05206567989,1.671,0.0635099411,
1.096,0.001004264181,1.719,0.05097648426,1.671,0.0635099411,
1.116,0.001007472336,1.757,0.05052341396,1.724,0.06142196804,
1.136,0.001010756219,1.785,0.0501134992,1.765,0.04760798067,
1.156,0.001013876546,1.823,0.04930867996,1.804,0.03759128228,
1.176,0.001016886137,1.852,0.04858006071,1.836,0.03454947844,
