"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_y"
0.346,0.0009351391747,-0.0971422264,-0.04526877031,
0.366,0.000938204097,-0.09221669254,-0.04052534699,
0.386,0.0009411141221,-0.08670956171,-0.02499807626,
0.406,0.0009438606839,-0.08067253451,-0.01154491957,
0.426,0.0009467851887,-0.07415749635,0.001401888905,
0.446,0.0009499533058,-0.06819782152,0.009403558448,
0.466,0.0009533265684,-0.06175239253,0.02090528235,
0.486,0.0009568884263,-0.05528923235,0.02451217175,
0.506,0.0009602369337,-0.04945185259,0.03396494687,
0.526,0.0009634034536,-0.04311965306,0.03724860027,
0.546,0.0009665183854,-0.03739068101,0.04571104795,
0.566,0.0009697807996,-0.03030422615,0.05262294412,
0.586,0.0009728108907,-0.02389030999,0.05518582836,
0.606,0.0009763058936,-0.0170340453,0.05736869574,
0.626,0.000979552142,-0.01263320301,0.05571813881,
0.646,0.0009829310972,-0.008651447084,0.05451722071,
0.666,0.0009844805993,-0.005050590598,0.05441296101,
0.686,0.0009823631279,-0.0006313502737,0.05436133966,
0.706,0.0009881538012,0.001575961273,0.0545601584,
0.726,0.0009911504063,0.003576090931,0.05436719209,
0.746,0.0009940201788,0.006406605585,0.05177759379,
0.766,0.0009972411147,0.008970067702,0.05016962439,
0.786,0.001000184747,0.01128960056,0.04599868134,
0.806,0.001003254898,0.01233760625,0.04331053793,
0.826,0.001005748888,0.01328573842,0.04241389781,
0.846,0.001008491588,0.01413751297,0.04152353108,
0.866,0.001011709886,0.01473658722,0.04154343903,
0.886,0.001015259917,0.01528029753,0.04183345288,
0.906,0.001018443218,0.01577227522,0.0423527509,
0.926,0.001021435874,0.01631367741,0.04217842594,
0.946,0.001024594054,0.01679795602,0.04293293133,
0.966,0.001028024921,0.01723568995,0.04221303761,
0.986,0.001033174461,0.01762772478,0.04453741759,
1.006,0.001036152481,0.01903396165,0.04608668759,
1.026,0.001039104958,0.02087588852,0.04928554967,
