"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
0.346,0.2999965334,-1.561349988,-1.543375621,
0.366,0.299996529,-1.610503793,-1.604867669,
0.386,0.2999965487,-1.639968038,-1.610028113,
0.406,0.2999965346,-1.639418364,-1.636949252,
0.426,0.299996547,-1.638996482,-1.612499093,
0.446,0.2999965346,-1.610262156,-1.610447258,
0.466,0.2999965317,-1.566349983,-1.539150718,
0.486,0.2999965332,-1.492891073,-1.533148187,
0.506,0.2999965312,-1.429408669,-1.395829589,
0.526,0.299996571,-1.335446119,-1.250683627,
0.546,0.2999966152,-1.274004936,-1.23850293,
0.566,0.2999966578,-1.149910212,-1.237480712,
0.586,0.2999966313,-1.103200316,-1.114472204,
0.606,0.2999966391,-1.016620636,-0.9956939772,
0.626,0.2999966325,-0.9553661346,-0.9857261005,
0.646,0.2999966474,-0.9232273698,-0.9028544871,
0.666,0.2999966359,-0.8675777912,-0.8958786953,
0.686,0.2999966455,-0.8104567528,-0.8176209344,
0.706,0.2999966709,-0.7675144076,-0.7663277323,
0.726,0.2999966404,-0.7616338134,-0.7620131873,
0.746,0.2999966909,-0.7477755547,-0.7540488751,
0.766,0.3000014324,-0.7575647831,-0.7533806407,
0.786,0.299995004,-0.7582196593,-0.7599778329,
0.806,0.3,-0.7632710934,-0.7605313796,
0.826,0.3,-0.7682387233,-0.7638730731,
0.846,0.3000000001,-0.7614566088,-0.7641534357,
0.866,0.3000000001,-0.7473134398,-0.7487094898,
0.886,0.3000000001,-0.7398717999,-0.7474134046,
0.906,0.3,-0.7351557612,-0.7361840923,
0.926,0.3000001947,-0.7392413616,-0.7352417253,
0.946,0.3000000001,-0.7529317141,-0.7514468321,
0.966,0.3000000001,-0.7746750712,-0.7833747868,
0.986,0.3000000001,-0.7862983942,-0.7860542057,
1.006,0.3,-0.8096499443,-0.8091033524,
1.026,0.3,-0.811213553,-0.8110376563,
1.046,0.3000000001,-0.8218259215,-0.8191661351,
1.066,0.3,-0.8199094534,-0.8198457719,
1.086,0.2999965697,-0.7999430299,-0.7853681823,
1.106,0.2999951479,-0.7706911564,-0.7824747637,
1.126,0.2999951483,-0.753151834,-0.7556181493,
1.146,0.2999951425,-0.753798902,-0.7533643828,
1.166,0.299995165,-0.7475350499,-0.7459649589,
1.186,0.299995161,-0.7440843582,-0.7461399268,
1.206,0.2999951618,-0.7461525798,-0.7461546256,
1.226,0.2999951873,-0.7487338185,-0.7519126886,
1.246,0.2999951697,-0.7524367571,-0.752395944,
1.266,0.299995163,-0.7541968226,-0.7548926307,
1.286,0.2999951843,-0.7551178336,-0.7550830688,
1.306,0.2999951646,-0.7411556244,-0.7423084659,
1.326,0.2999951719,-0.7309238315,-0.6977958137,
1.346,0.2999951524,-0.6937355995,-0.6940937209,
1.366,0.2999951551,-0.6520940065,-0.6326378149,
1.386,0.2999951505,-0.6000503302,-0.6274804028,
1.406,0.299995154,-0.5381513834,-0.5456323289,
1.426,0.2999951434,-0.5045557618,-0.4374617982,
1.446,0.2999951404,-0.3946765959,-0.4283840813,
1.466,0.2999951408,-0.3171778619,-0.3264947014,
1.486,0.2999951371,-0.2526089251,-0.2302071088,
1.506,0.2999951316,-0.1917498559,-0.2221265958,
1.526,0.2999951644,-0.1416728497,-0.1484284864,
1.546,0.2999951679,-0.121072568,-0.1190177611,
1.566,0.2999951565,-0.116301924,-0.116541465,
1.586,0.2999943738,-0.1209417135,-0.123192567,
1.606,0.2999943608,-0.1330811083,-0.1237507348,
1.626,0.2999943792,-0.1400146633,-0.1449446198,
1.646,0.2999943667,-0.1518555135,-0.1467232325,
1.666,0.2999943664,-0.16046381,-0.1592793033,
1.686,0.2999943682,-0.1678884476,-0.160333049,
1.706,0.2999943598,-0.1942205876,-0.1913454302,
1.726,0.2999943527,-0.2057916522,-0.1939480404,
1.746,0.2999943455,-0.2335623503,-0.2302066997,
1.766,0.2999943469,-0.2471877784,-0.2332789529,
1.786,0.3,-0.283411175,-0.2792021396,
1.806,0.2999939046,-0.3144465685,-0.3276877724,
1.826,0.2999961938,-0.3321058452,-0.3317566953,
1.846,0.2999961767,-0.3749001026,-0.3939035352,
1.866,0.2999961569,-0.4247842431,-0.3991189025,
1.886,0.299996159,-0.4480338991,-0.4639721252,
1.906,0.2999961692,-0.4865576923,-0.4693803227,
1.926,0.2999961791,-0.5018516183,-0.5063162319,
1.946,0.2999961734,-0.5189005136,-0.50941599,
1.966,0.2999961477,-0.5387382507,-0.5362650664,
1.986,0.299996155,-0.5615906715,-0.5733262878,
2.006,0.2999961352,-0.5879144073,-0.5764364257,
2.026,0.2999961208,-0.6000623107,-0.605732599,
2.046,0.2999961045,-0.6239973307,-0.6082002195,
2.066,0.2999960911,-0.6343178749,-0.6501565157,
2.086,0.2999960698,-0.6759323478,-0.7345195031,
2.106,0.2999961052,-0.7422415018,-0.7415992653,
2.126,0.2999960815,-0.8329689503,-0.8720506294,
2.146,0.2999960801,-0.8839939833,-0.8829982082,
2.166,0.2999960541,-0.970631361,-1.000236631,
2.186,0.2999960632,-1.046583295,-1.010052973,
2.206,0.2999960474,-1.128938198,-1.118945558,
2.226,0.2999932862,-1.207146168,-1.225420612,
2.246,0.2999979763,-1.235191822,-1.234355976,
2.266,0.3000000001,-1.277926087,-1.289669399,
2.286,0.2999999975,-1.310019851,-1.294311388,
2.306,0.2999999999,-1.319768667,-1.317633597,
2.326,0.300000001,-1.308183432,-1.309871001,
2.346,0.3000000009,-1.285559893,-1.309219472,
2.366,0.3000000007,-1.270637035,-1.260731837,
2.386,0.3000000006,-1.242988229,-1.227495999,
2.406,0.3000000002,-1.22443676,-1.224706868,
2.426,0.3000000002,-1.209905028,-1.202010607,
2.446,0.3000000002,-1.179979801,-1.20010585,
2.466,0.3000000002,-1.132540107,-1.129428395,
2.486,0.3000000002,-1.070395231,-1.046479431,
2.506,0.3000000003,-1.014215231,-1.039518397,
2.526,0.3000000002,-0.9696673155,-0.9755214326,
2.546,0.3000000002,-0.9178932309,-0.9046377886,
2.566,0.3000000002,-0.8967638016,-0.8986890976,
2.586,0.3000000002,-0.8440096378,-0.8330728883,
2.606,0.3000000001,-0.8037158251,-0.8275664726,
2.626,0.3000000001,-0.7496079206,-0.7561489098,
2.646,0.3000000002,-0.7272043228,-0.7143447537,
2.666,0.3000000002,-0.7105164528,-0.7108406452,
2.686,0.3000000002,-0.6878666282,-0.6747399631,
2.706,0.3000000002,-0.6625531912,-0.6717102985,
2.726,0.3000000001,-0.6409319043,-0.6289530135,
2.746,0.3000000001,-0.6097401381,-0.6253516829,
2.766,0.3000000002,-0.5899332166,-0.5770225755,
2.786,0.3000000002,-0.5546030998,-0.5176016265,
2.806,0.3000000002,-0.5121696591,-0.5126149716,
2.826,0.3000000001,-0.4731712639,-0.4569599108,
2.846,0.3000000001,-0.4337158799,-0.4522854816,
2.866,0.3000000002,-0.4150518775,-0.4042962235,
2.886,0.3000000002,-0.3999156952,-0.4002689831,
2.906,0.3000000002,-0.3751448393,-0.365132118,
2.926,0.3000000003,-0.3524855077,-0.3622090778,
2.946,0.3000000003,-0.3285634816,-0.3290483419,
2.966,0.3000000001,-0.3145503998,-0.3262655127,
2.986,0.2999958007,-0.3069271445,-0.3088028791,
3.006,0.2999958165,-0.3029250801,-0.2995167503,
3.026,0.2999957898,-0.2986860871,-0.2987374542,
3.046,0.2999957728,-0.2974640131,-0.2901972418,
3.066,0.2999957584,-0.2901783586,-0.2894805314,
3.086,0.2999957576,-0.2709926069,-0.2669796824,
3.106,0.3,-0.2608681619,-0.2650913891,
3.126,0.3,-0.2578041852,-0.2607276964,
3.146,0.3,-0.2633788884,-0.2603615814,
3.166,0.3,-0.2570468783,-0.2572980338,
3.186,0.3,-0.245188579,-0.2409794578,
3.206,0.3,-0.2332225889,-0.2396099352,
3.226,0.3,-0.2225648761,-0.2240077915,
3.246,0.3,-0.2053485215,-0.1982161135,
3.266,0.3,-0.1958412975,-0.1960516651,
3.286,0.3,-0.1884907335,-0.1918777595,
3.306,0.3,-0.1953514665,-0.1915274767,
3.326,0.3,-0.1955524087,-0.1923269125,
3.346,0.3,-0.1863852739,-0.1923940312,
3.366,0.3,-0.1796574444,-0.1739963178,
3.386,0.2999999998,-0.1665082425,-0.151468654,
3.406,0.3000000011,-0.149411723,-0.1495785115,
3.426,0.300000001,-0.1420911849,-0.1329912809,
3.446,0.3000000007,-0.1214791834,-0.131601186,
3.466,0.3000000005,-0.1112291217,-0.1088211868,
3.486,0.3000000002,-0.1045572162,-0.1069094167,
3.506,0.3000000001,-0.1194776073,-0.1184188008,
3.526,0.3000000002,-0.1339539737,-0.1193826827,
3.546,0.3000000002,-0.1749218553,-0.1702549536,
3.566,0.3000000002,-0.1936945468,-0.1745241826,
3.586,0.3000000003,-0.230485633,-0.225783326,
3.606,0.3000000003,-0.253603071,-0.264713521,
3.626,0.3000000002,-0.2682760656,-0.2679805407,
3.646,0.3000000002,-0.2891632617,-0.2973314998,
3.666,0.3000000002,-0.3000177741,-0.2997946229,
3.686,0.3000000001,-0.3257131875,-0.3406225745,
3.706,0.3000000002,-0.3418908119,-0.3440488794,
3.726,0.3000000002,-0.3767842054,-0.3863054143,
3.746,0.3000000002,-0.4017466009,-0.3898516038,
3.766,0.3000000002,-0.4131303728,-0.411187637,
3.786,0.3000000002,-0.4190986156,-0.4304251236,
3.806,0.3000000001,-0.4321756661,-0.4320394959,
3.826,0.3000000001,-0.4354566932,-0.4403612874,
3.846,0.3000000002,-0.4501932561,-0.4410596197,
3.866,0.3000000002,-0.4590235949,-0.4678711602,
3.886,0.3000000002,-0.4825484753,-0.4701211448,
3.906,0.3000000002,-0.5262180567,-0.521501371,
3.926,0.3000000002,-0.5558629036,-0.5258131941,
3.946,0.3000000002,-0.6187807322,-0.6109698237,
3.966,0.3000000002,-0.6783669591,-0.7095667076,
3.986,0.3000000003,-0.7516131997,-0.7178409777,
4.006,0.3000000002,-0.8144607544,-0.8063497771,
4.026,0.3000000001,-0.8663623333,-0.8867668214,
4.046,0.2999982691,-0.9164123535,-0.8935153926,
4.066,0.300000001,-0.9476720095,-0.9568973008,
4.086,0.3000000009,-0.9794846773,-0.962226923,
4.106,0.3000000007,-0.9947396517,-0.9920191938,
4.126,0.3000000002,-1.010666132,-1.013934832,
4.146,0.3000000002,-1.024448037,-1.015759135,
4.166,0.3000000002,-1.030382156,-1.037267072,
4.186,0.3000000002,-1.050241351,-1.039089122,
4.206,0.3000000002,-1.071202397,-1.068517594,
4.226,0.3000000002,-1.070791721,-1.07098717,
4.246,0.3000000002,-1.082778811,-1.081799287,
4.266,0.3000000002,-1.096787572,-1.103518281,
4.286,0.3000000001,-1.111332297,-1.105340946,
4.306,0.3000000001,-1.109437466,-1.115784205,
4.326,0.3000000002,-1.122698307,-1.116690761,
4.346,0.3000000002,-1.133293033,-1.13191887,
4.366,0.3000000002,-1.132637858,-1.11245756,
4.386,0.3000000002,-1.110653877,-1.110824382,
4.406,0.2999983898,-1.084081888,-1.069274927,
4.426,0.3000000011,-1.044792652,-1.065788063,
4.446,0.3000000009,-0.999682188,-1.005236959,
4.466,0.3000000007,-0.9679216146,-0.9603784364,
4.486,0.3000000005,-0.9460551739,-0.9565745342,
4.506,0.3000000003,-0.9398738146,-0.9287120627,
4.526,0.3000000002,-0.919611752,-0.9263737832,
4.546,0.3000000002,-0.9180053473,-0.9031839562,
4.566,0.3000000001,-0.8950016499,-0.9012918022,
4.586,0.3000000001,-0.8819978237,-0.8629016429,
4.606,0.3000000002,-0.8409603238,-0.8596798456,
4.626,0.3000000002,-0.8078544736,-0.8122209859,
4.646,0.3000000002,-0.7889982462,-0.8082381458,
4.666,0.3000000002,-0.7701485157,-0.7471579824,
4.686,0.3000000002,-0.7194423676,-0.7420320678,
4.706,0.3000000001,-0.6881437898,-0.6926431621,
4.726,0.3000000002,-0.67202425,-0.647077862,
4.746,0.3000000002,-0.6429287791,-0.6432782512,
4.766,0.3000000001,-0.6124103665,-0.6429593826,
4.786,0.3000000001,-0.6034616232,-0.6035030666,
4.806,0.3000000001,-0.5969390273,-0.6042794457,
4.826,0.3,-0.6088649631,-0.6043445348,
4.846,0.3000000002,-0.6190009117,-0.6196414867,
4.866,0.3000000001,-0.6282708049,-0.6209252355,
4.886,0.3000000002,-0.630766511,-0.6299710558,
4.906,0.3000000001,-0.6242932081,-0.6111313743,
4.926,0.3000000001,-0.6093722582,-0.6095009645,
4.946,0.3000000001,-0.5978230238,-0.609364159,
4.966,0.3000000001,-0.5700832605,-0.5702226084,
4.986,0.3000000001,-0.5356913209,-0.5218523229,
5.006,0.3000000001,-0.5174418092,-0.5177930969,
5.026,0.3000000001,-0.4828529656,-0.4710092354,
5.046,0.3000000001,-0.4667440057,-0.4670831493,
5.066,0.3,-0.4432067871,-0.4315806053,
5.086,0.3000000001,-0.4283312857,-0.4286012119,
5.106,0.3000000001,-0.3973841369,-0.3885199594,
5.126,0.3000000002,-0.3737617433,-0.3851563214,
5.146,0.3000000001,-0.3547209799,-0.3572801093,
5.166,0.3,-0.3471773267,-0.345307582,
5.186,0.3000000001,-0.3442054093,-0.3443028088,
5.206,0.3000000001,-0.328935802,-0.3222047228,
5.226,0.3,-0.3113104105,-0.3203485917,
5.246,0.3000000001,-0.2962409258,-0.2982673715,
5.266,0.3,-0.2923079133,-0.2836512574,
5.286,0.3,-0.2823085189,-0.2824247998,
5.306,0.3000000001,-0.2650803626,-0.2657014992,
5.326,0.3000000001,-0.27068156,-0.2642978394,
5.346,0.3000000001,-0.2893694043,-0.287248769,
5.366,0.3000000002,-0.3010190129,-0.2891745898,
5.386,0.3000000001,-0.3147954643,-0.3308931052,
5.406,0.3,-0.3347173035,-0.3343941889,
5.426,0.3000000001,-0.3830558658,-0.3992899015,
5.446,0.3000000001,-0.4052371979,-0.4047641232,
5.466,0.3000000001,-0.4848861098,-0.4781882712,
5.486,0.3000000001,-0.5128931999,-0.5441818273,
5.506,0.3000000001,-0.5501989722,-0.5497102973,
5.526,0.3000000001,-0.5630685687,-0.5688927515,
5.546,0.3000000001,-0.5767141581,-0.5704398327,
5.566,0.3,-0.5804741383,-0.5795855243,
5.586,0.3000000001,-0.5799031854,-0.5803530203,
5.606,0.3000000001,-0.5775546432,-0.5777429062,
5.626,0.3,-0.5645011067,-0.5775238329,
5.646,0.3000000001,-0.5574116707,-0.5529627462,
5.666,0.3,-0.5429834127,-0.5509015772,
5.686,0.300000001,-0.5321630836,-0.5201075168,
5.706,0.3000000011,-0.517268002,-0.5175232701,
5.726,0.3000000008,-0.4785348177,-0.4687743922,
5.746,0.3000000007,-0.4495737255,-0.4646705508,
5.766,0.3000000003,-0.4341028035,-0.4190819771,
5.786,0.3000000002,-0.3992061019,-0.4152562091,
5.806,0.3000000002,-0.370542109,-0.3742987725,
5.826,0.3000000002,-0.3423928618,-0.3310153621,
5.846,0.3000000002,-0.3143471777,-0.3273830298,
5.866,0.3000000002,-0.2984253764,-0.2901947603,
5.886,0.3000000002,-0.275365293,-0.2870739712,
5.906,0.3000000001,-0.2523533106,-0.2552615924,
5.926,0.3000000001,-0.2388113141,-0.2042565807,
5.946,0.3000000002,-0.1995930076,-0.1999761572,
5.966,0.3000000001,-0.1500242501,-0.1311132295,
5.986,0.3000000002,-0.1248138919,-0.1253341677,
6.006,0.3000000002,-0.08272747695,-0.06709754862,
