"/del_uav/KF_sigma/pos_cov/x_x","/del_uav/KF_sigma/pos_cov/x_y"
0.503,7.941293157e-06,
0.534,7.941293157e-06,
0.572,7.78683442e-06,
0.611,7.78683442e-06,
0.647,7.78683442e-06,
0.679,7.78683442e-06,
0.712,7.552980147e-06,
0.743,8.600929311e-06,
0.767,8.600929311e-06,
0.806,8.600929311e-06,
0.835,8.759528644e-06,
0.87,8.759528644e-06,
0.911,8.759528644e-06,
0.935,8.759528644e-06,
0.986,8.759528644e-06,
1.01,8.414656326e-06,
1.036,8.414656326e-06,
1.077,8.414656326e-06,
1.1,8.365576876e-06,
1.136,8.365576876e-06,
1.167,8.365576876e-06,
1.202,8.406508425e-06,
1.235,8.406508425e-06,
1.266,8.406508425e-06,
1.305,8.250525199e-06,
1.335,8.250525199e-06,
1.367,8.250525199e-06,
1.418,7.562143749e-06,
1.444,7.562143749e-06,
1.479,7.562143749e-06,
1.505,8.542269764e-06,
1.534,8.542269764e-06,
1.569,8.542269764e-06,
1.605,7.996245101e-06,
1.635,7.996245101e-06,
1.674,7.996245101e-06,
1.701,8.916291497e-06,
1.734,8.916291497e-06,
1.756,8.916291497e-06,
1.797,8.467693589e-06,
1.836,8.467693589e-06,
1.868,9.210335286e-06,
1.9,9.210335286e-06,
1.937,9.210335286e-06,
1.968,9.210335286e-06,
2.015,8.611884104e-06,
2.041,8.611884104e-06,
2.077,8.979863303e-06,
2.104,8.979863303e-06,
2.134,8.979863303e-06,
2.17,8.349371234e-06,
2.203,8.349371234e-06,
2.234,8.349371234e-06,
2.265,8.899977979e-06,
2.3,8.899977979e-06,
2.334,9.063424123e-06,
2.37,9.063424123e-06,
2.4,9.063424123e-06,
2.439,9.063424123e-06,
2.473,9.063424123e-06,
2.499,8.65896925e-06,
2.534,8.65896925e-06,
2.567,8.65896925e-06,
2.6,9.126614337e-06,
2.635,9.126614337e-06,
2.667,9.126614337e-06,
2.703,9.390503452e-06,
2.733,8.657066962e-06,
2.769,8.657066962e-06,
2.81,8.657066962e-06,
2.839,8.657066962e-06,
2.875,9.207303648e-06,
2.9,9.207303648e-06,
2.934,9.207303648e-06,
2.972,9.323401527e-06,
3.004,9.323401527e-06,
3.035,9.323401527e-06,
3.067,9.323401527e-06,
3.103,9.099923184e-06,
3.134,9.099923184e-06,
3.173,9.099923184e-06,
3.204,9.099923184e-06,
3.234,9.099923184e-06,
3.266,9.387418703e-06,
3.31,9.387418703e-06,
3.335,9.387418703e-06,
3.369,9.387418703e-06,
3.397,9.387418703e-06,
3.439,9.149869448e-06,
3.472,9.149869448e-06,
3.513,9.530684024e-06,
3.543,9.530684024e-06,
3.577,9.530684024e-06,
3.605,9.33177314e-06,
3.634,8.734155518e-06,
3.669,8.734155518e-06,
3.699,8.734155518e-06,
3.733,8.734155518e-06,
3.769,1.016918131e-05,
3.805,1.016918131e-05,
3.836,1.016918131e-05,
3.87,1.016918131e-05,
3.901,9.758298763e-06,
3.931,9.758298763e-06,
3.968,9.758298763e-06,
4,1.060284075e-05,
4.039,1.060284075e-05,
4.071,1.00849187e-05,
4.112,1.00849187e-05,
4.14,9.993241772e-06,
4.175,9.993241772e-06,
4.2,9.993241772e-06,
4.234,1.011152619e-05,
4.273,1.011152619e-05,
4.3,1.011152619e-05,
4.334,1.011152619e-05,
4.366,1.011152619e-05,
4.402,1.011152619e-05,
4.437,9.648644386e-06,
4.468,9.648644386e-06,
4.504,9.648644386e-06,
4.534,1.040204591e-05,
4.566,1.040204591e-05,
4.599,9.708990222e-06,
4.629,9.708990222e-06,
4.667,9.708990222e-06,
4.701,9.463641766e-06,
4.733,9.463641766e-06,
4.767,9.463641766e-06,
4.8,9.408071958e-06,
4.837,9.901544926e-06,
4.871,9.901544926e-06,
4.901,9.901544926e-06,
4.938,9.901544926e-06,
4.968,9.901544926e-06,
5.004,9.901544926e-06,
5.04,9.949256277e-06,
5.07,9.949256277e-06,
5.101,9.949256277e-06,
5.136,1.000361925e-05,
5.168,1.000361925e-05,
5.2,1.000361925e-05,
5.232,9.555491704e-06,
5.269,9.555491704e-06,
5.3,9.555491704e-06,
5.335,9.944869371e-06,
5.366,9.944869371e-06,
5.399,9.948352576e-06,
5.434,9.898589917e-06,
5.484,9.898589917e-06,
5.503,9.898589917e-06,
5.539,9.898589917e-06,
5.569,9.898589917e-06,
5.6,9.898589917e-06,
5.633,9.449336074e-06,
5.669,9.449336074e-06,
5.701,9.945299987e-06,
5.748,9.945299987e-06,
5.773,9.945299987e-06,
5.804,9.945299987e-06,
5.834,9.156833471e-06,
5.866,9.156833471e-06,
5.898,1.000487935e-05,
5.934,1.000487935e-05,
5.968,1.000487935e-05,
6.002,1.007239232e-05,
6.035,1.007239232e-05,
6.077,1.007239232e-05,
6.104,1.007239232e-05,
6.133,9.836179963e-06,
6.166,9.836179963e-06,
6.2,9.836179963e-06,
6.234,9.442228486e-06,
6.267,9.442228486e-06,
6.312,9.442228486e-06,
6.344,1.004064589e-05,
6.377,1.004064589e-05,
6.404,1.004064589e-05,
6.434,1.023045181e-05,
6.467,1.023045181e-05,
6.501,1.023045181e-05,
6.533,9.639760798e-06,
6.569,9.639760798e-06,
6.6,9.580180131e-06,
6.633,9.580180131e-06,
6.666,9.580180131e-06,
6.699,1.034443847e-05,
6.734,1.034443847e-05,
6.758,9.717263155e-06,
6.801,9.717263155e-06,
6.834,9.717263155e-06,
6.857,9.870539362e-06,
6.902,9.870539362e-06,
6.938,9.870539362e-06,
6.974,9.870539362e-06,
7.003,9.870539362e-06,
7.034,9.77460424e-06,
7.068,9.77460424e-06,
7.102,9.658613819e-06,
7.136,9.658613819e-06,
7.169,9.748987039e-06,
7.202,9.748987039e-06,
7.232,9.748987039e-06,
7.266,1.006211556e-05,
7.301,1.006211556e-05,
7.333,1.006211556e-05,
7.367,1.006211556e-05,
7.399,1.021253969e-05,
7.428,1.021253969e-05,
7.467,1.021253969e-05,
7.501,1.021253969e-05,
7.533,2.741388585e-05,
7.57,2.741388585e-05,
7.6,2.741388585e-05,
7.639,2.6878914e-05,
7.675,2.6878914e-05,
7.703,2.6878914e-05,
7.736,2.6878914e-05,
7.767,2.6878914e-05,
7.8,2.850073641e-05,
7.836,2.850073641e-05,
7.864,2.850073641e-05,
7.895,2.850073641e-05,
7.927,3.293640736e-05,
7.967,3.293640736e-05,
8,3.293640736e-05,
8.039,3.293640736e-05,
8.075,3.467703423e-05,
8.11,3.467703423e-05,
8.135,3.467703423e-05,
8.168,3.467703423e-05,
8.201,3.467703423e-05,
8.237,3.771097419e-05,
8.268,3.771097419e-05,
8.306,3.771097419e-05,
8.335,2.839097186e-05,
8.368,2.839097186e-05,
8.4,2.839097186e-05,
8.434,2.839097186e-05,
8.468,3.998014055e-05,
8.501,3.998014055e-05,
8.535,3.998014055e-05,
8.57,3.998014055e-05,
8.605,1.807847858e-05,
8.635,1.807847858e-05,
8.667,1.807847858e-05,
8.698,3.719072203e-05,
8.733,3.719072203e-05,
8.768,3.719072203e-05,
8.8,3.719072203e-05,
8.835,3.719072203e-05,
8.871,1.682548247e-05,
8.9,1.682548247e-05,
8.935,1.682548247e-05,
