"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/del_uav/KF_pose/x_x","/del_uav/KF_pose/x_y","/ual/pose/pose/position/x_x","/ual/pose/pose/position/x_y"
0.381,0.0015249048,0.402,-0.06900420815,0.395,-0.08156111836,
0.401,0.001527912314,0.436,-0.07136042776,0.435,-0.08548285067,
0.421,0.001531044691,0.469,-0.07608785338,0.464,-0.09013719112,
0.441,0.001534188954,0.512,-0.07954017033,0.5,-0.09672173858,
0.461,0.00153767287,0.538,-0.08506763607,0.535,-0.1051365063,
0.481,0.001540958529,0.571,-0.08903997203,0.556,-0.1050851047,
0.501,0.001544287556,0.605,-0.09193921117,0.606,-0.09953763336,
0.521,0.001546399946,0.638,-0.09104839281,0.63,-0.09859947115,
0.541,0.001549447337,0.672,-0.0903983149,0.671,-0.0949633196,
0.561,0.001552868171,0.701,-0.08992470631,0.709,-0.09733833373,
0.581,0.001556205751,0.737,-0.08957906696,0.73,-0.1033516675,
0.601,0.001559408596,0.771,-0.09512578101,0.761,-0.1100990027,
0.621,0.001562985803,0.804,-0.09917018905,0.796,-0.1205132529,
0.641,0.001566708933,0.837,-0.1054900484,0.827,-0.1308362186,
0.661,0.001569486546,0.871,-0.1131077876,0.867,-0.1437405795,
0.681,0.001571060154,0.905,-0.1216732758,0.908,-0.1608280987,
0.701,0.001572526863,0.938,-0.1339393168,0.943,-0.1818975955,
0.721,0.001576066662,0.97,-0.14576267,0.962,-0.1863706857,
0.741,0.001579365959,1.004,-0.1543926006,1,-0.1831848472,
0.761,0.001582920835,1.037,-0.1606996897,1.034,-0.1867481321,
0.781,0.001586687593,1.069,-0.1678901044,1.07,-0.1928545684,
0.801,0.00159207716,1.103,-0.1731374853,1.092,-0.1981548071,
0.821,0.001595142822,1.138,-0.1799669891,1.139,-0.2119468004,
0.841,0.001600417057,1.175,-0.188581842,1.158,-0.2081780732,
0.861,0.001604267959,1.175,-0.1849509253,1.185,-0.2047521472,
0.881,0.001607815532,1.235,-0.192756756,1.231,-0.202125296,
0.901,0.001611426298,1.27,-0.1958084705,1.268,-0.2018393725,
0.921,0.001615075002,1.299,-0.1966769224,1.294,-0.2036545575,
0.941,0.001618685225,1.34,-0.1973104711,1.343,-0.209596023,
0.961,0.001619505568,1.371,-0.1977721951,1.361,-0.2086022943,
0.981,0.001622196056,1.403,-0.1951013716,1.41,-0.1988234669,
1.001,0.001624634979,1.438,-0.193151319,1.429,-0.1985573024,
1.021,0.001628864686,1.468,-0.1918082747,1.468,-0.1954513639,
1.041,0.001633311144,1.504,-0.1908283236,1.507,-0.2029340118,
