"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_y"
0.365,0.0001572878831,-0.1036211696,-0.134611547,
0.385,0.0001581187956,-0.1154162503,-0.1493009627,
0.405,0.0001581088694,-0.1296314155,-0.1657768488,
0.425,0.0001580882354,-0.1459805827,-0.1756382883,
0.445,0.0001580579121,-0.1579122953,-0.1995683908,
0.465,0.0001580226669,-0.1686878145,-0.2040583193,
0.485,0.0001579670459,-0.1795427894,-0.2143048644,
0.505,0.0001579036239,-0.1904526838,-0.2193894535,
0.525,0.0001578468421,-0.2004355927,-0.2306917757,
0.545,0.0001577969024,-0.2077212803,-0.2433213592,
0.565,0.0001577555875,-0.2190136851,-0.2573553622,
0.585,0.0001577440514,-0.2265050004,-0.2536812723,
0.605,0.0001577447341,-0.2319725249,-0.2466262281,
0.625,0.0001577430778,-0.232975019,-0.2439806014,
0.645,0.0001582824477,-0.2366939342,-0.24568142,
0.665,0.0001605312921,-0.2394078464,-0.2484857291,
0.685,0.0001550750891,-0.2379787132,-0.245385021,
0.705,0.0001583385908,-0.2339485286,-0.2327022552,
0.725,0.0001580179049,-0.2280197555,-0.2199276984,
0.745,0.0001602055709,-0.2198932923,-0.2116247118,
0.765,0.0001621300643,-0.2139619515,-0.2083700746,
0.785,0.0001641868543,-0.2096328635,-0.2041108608,
0.805,0.000166158048,-0.20647288,-0.2038076669,
0.825,0.0001684226363,-0.2009741213,-0.1948114038,
0.845,0.000170604617,-0.1939736551,-0.1923219264,
0.865,0.0001729635523,-0.1888636027,-0.1839427352,
0.885,0.0001751901081,-0.1851339991,-0.180190146,
0.905,0.0001773566871,-0.1824097089,-0.1779632866,
0.925,0.0001794205338,-0.1781959724,-0.1748612523,
0.945,0.0001818039318,-0.1691458741,-0.1524094641,
0.965,0.0001841063109,-0.1595490868,-0.1428260058,
0.985,0.0001864247193,-0.1465701591,-0.1246740893,
1.005,0.0001923524279,-0.1346779478,-0.1111100391,
1.025,0.0001950268385,-0.1242203589,-0.1013982743,
1.045,0.0001974920999,-0.1136002146,-0.0986534059,
1.065,0.0001976414373,-0.1058541352,-0.0909223929,
1.085,0.0001999040194,-0.09721320604,-0.08220285922,
1.105,0.0001955683224,-0.08966607514,-0.07784635574,
1.125,0.0001982580289,-0.08415832814,-0.07009562105,
1.145,0.0002008843363,-0.07714695687,-0.06471418589,
1.165,0.0002034877797,-0.06904287845,-0.05194352567,
1.185,0.0002060758459,-0.05714566359,-0.03536545485,
1.205,0.0002088569548,-0.04394773339,-0.01749201864,
1.225,0.0002115219763,-0.03133136418,-0.008297396824,
1.245,0.0002139693558,-0.01914015376,0.01172589418,
1.265,0.0002167429313,-0.008693788577,0.02208975144,
1.285,0.0002184932904,0.001923076317,0.03258256242,
1.305,0.0002202263599,0.009671954297,0.04070662335,
1.325,0.0002231817735,0.01831948873,0.04955850914,
1.345,0.0002263759185,0.02761836159,0.05868712813,
1.365,0.0002294490821,0.03541269212,0.06302892417,
1.385,0.0002324230321,0.04408796863,0.06966121495,
1.405,0.0002351070308,0.05340675873,0.08241970837,
1.425,0.0002376919616,0.0602016175,0.08318154514,
1.445,0.0002405830288,0.06515463395,0.08437094837,
1.465,0.0002434925706,0.06830954295,0.08604956418,
1.485,0.000246432776,0.07021270139,0.08660066128,
1.505,0.0002490966734,0.07556656514,0.08808518201,
1.525,0.0002517254288,0.0794688563,0.09539497644,
1.545,0.0002543952679,0.08231647657,0.09492085874,
1.565,0.0002571891669,0.08439002702,0.09346341342,
