"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
0.35,0.3,0.1821881831,0.1764287933,
0.37,0.3,0.2312050909,0.1816881651,
0.39,0.3,0.2714568079,0.2437702525,
0.41,0.3,0.3123618066,0.3066140373,
0.43,0.3,0.3395755887,0.3118876793,
0.45,0.3,0.3385295868,0.338086131,
0.47,0.3,0.333823204,0.3221066418,
0.49,0.2999950088,0.3144116998,0.3207656492,
0.51,0.2999966496,0.2913602889,0.2938361543,
0.53,0.2999966504,0.2764493525,0.2915764136,
0.55,0.2999966512,0.2761206031,0.2774262014,
0.57,0.2999966522,0.2757043839,0.2762124978,
0.59,0.2999966534,0.2870373726,0.2798133791,
0.61,0.2999966553,0.2997511923,0.2980600924,
0.63,0.2999966573,0.3076952696,0.2996207341,
0.65,0.2999966589,0.3119639456,0.3109395789,
0.67,0.2999966603,0.3137594461,0.3118894727,
0.69,0.2999966616,0.3175456822,0.3170824895,
0.71,0.2999966621,0.3148303032,0.3175183027,
0.73,0.2999966621,0.3155661523,0.3157455592,
0.75,0.2999966623,0.3172979653,0.319074692,
0.77,0.2999967969,0.3159261644,0.3193539368,
0.79,0.2999953619,0.3215028048,0.3212836498,
0.81,0.2999965433,0.3203707933,0.3214455802,
0.83,0.2999908233,0.3256563544,0.3252641438,
0.85,0.2999935651,0.3258693814,0.3255846184,
0.87,0.299993568,0.3152100146,0.3256625643,
0.89,0.2999935638,0.3149498701,0.3158612342,
0.91,0.2999935689,0.2955261171,0.3150388547,
0.93,0.2999935694,0.2713745832,0.2875980216,
0.95,0.2999935687,0.24843885,0.2284145495,
0.97,0.2999935665,0.1965987086,0.2234420693,
0.99,0.2999935654,0.1400690675,0.1470727606,
1.01,0.2999935614,0.1238725781,0.1406638804,
1.03,0.2999935552,0.1085528359,0.1112547164,
1.05,0.2999935568,0.09133882821,0.08788153649,
1.07,0.2999935546,0.07336831838,0.08594035324,
1.09,0.2999935532,0.06221013516,0.0467619698,
1.11,0.2999935541,0.02822813019,0.04347401785,
1.13,0.2999946322,0.01313965861,0.01569621618,
1.15,0.2999946413,0.008191373199,0.01335231197,
1.17,0.2999946476,-0.0116072651,-0.009514175668,
1.19,0.3000010494,-0.02389667556,-0.01143286625,
1.21,0.2999972725,-0.05510947853,-0.0514450618,
1.23,0.2999952234,-0.08227097988,-0.05480253799,
1.25,0.299995435,-0.09108245373,-0.08508638222,
1.27,0.2999954304,-0.1027939469,-0.1209502852,
1.29,0.2999954257,-0.1437122524,-0.1239601994,
1.31,0.2999954122,-0.1646195054,-0.1781723475,
1.33,0.2999954025,-0.1831531972,-0.1827217432,
1.35,0.2999954025,-0.2136969715,-0.2298634984,
