"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_x","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_x","/del_uav/KF_pose/z_y"
0.258,0.2999938885,0.259,-0.2890209854,0.294,-0.2572150573,
0.278,0.2999938914,0.299,-0.306516856,0.331,-0.279553569,
0.298,0.2999938853,0.334,-0.3129577935,0.364,-0.279553569,
0.318,0.29999389,0.356,-0.3144766092,0.415,-0.2732724538,
0.338,0.2999938917,0.393,-0.3003217876,0.432,-0.2732724538,
0.358,0.2999938961,0.419,-0.2957603633,0.467,-0.2625544847,
0.378,0.2999938927,0.464,-0.2938668728,0.499,-0.2625544847,
0.398,0.2999909307,0.504,-0.3020885289,0.534,-0.2683880217,
0.418,0.3000000005,0.536,-0.3102712333,0.573,-0.2864557825,
0.438,0.3,0.556,-0.3202403784,0.61,-0.2864557825,
0.458,0.3,0.604,-0.3457860649,0.658,-0.3251396369,
0.478,0.3000000001,0.62,-0.3603720963,0.67,-0.3251396369,
0.498,0.3,0.668,-0.3932899237,0.703,-0.3656723197,
0.518,0.3,0.703,-0.4316627979,0.733,-0.3657041804,
0.538,0.3000000001,0.72,-0.451107949,0.771,-0.4131616276,
0.558,0.3,0.765,-0.4727077484,0.804,-0.4131616276,
0.578,0.3,0.799,-0.5220627785,0.832,-0.4652080845,
0.598,0.3,0.837,-0.5952386856,0.867,-0.5606456538,
0.618,0.3,0.86,-0.6291743517,0.902,-0.5606456538,
0.638,0.3,0.897,-0.6894641519,0.945,-0.636604927,
0.658,0.3,0.92,-0.7144250274,0.97,-0.636604927,
0.678,0.3,0.952,-0.7382621169,1.018,-0.6927890303,
0.698,0.3,0.993,-0.7841330767,1.034,-0.6927890303,
0.718,0.3,1.02,-0.8005396724,1.068,-0.7383374792,
0.738,0.3,1.062,-0.8297795057,1.099,-0.7383374792,
0.758,0.3,1.101,-0.8327305913,1.137,-0.7333437052,
0.778,0.3,1.118,-0.8247511983,1.168,-0.7333437052,
0.798,0.3,1.16,-0.8062239289,1.217,-0.6990054297,
