"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/del_uav/KF_pose/x_x","/del_uav/KF_pose/x_y","/ual/pose/pose/position/x_x","/ual/pose/pose/position/x_y"
0.197,0.001424058226,0.221,0.004444658998,0.224,0.009692202322,
0.217,0.001426615785,0.252,0.004198858961,0.262,0.01246419363,
0.237,0.001429129567,0.285,0.005849392836,0.289,0.01555934735,
0.257,0.001431884551,0.319,0.006323101086,0.326,0.01346183103,
0.277,0.00143442966,0.353,0.006711868632,0.359,0.007439455017,
0.297,0.001437180583,0.386,0.005180001938,0.4,0.005968644749,
0.317,0.001439491353,0.419,0.003976825392,0.42,0.005133987404,
0.337,0.001439827406,0.454,0.002974108622,0.465,0.002902308013,
0.357,0.001440935799,0.486,0.002137760537,0.495,0.002582854824,
0.377,0.001448138285,0.519,0.001440190202,0.526,0.0007365340134,
0.397,0.001445478888,0.554,0.001795603438,0.559,-0.001875768066,
0.417,0.001448185647,0.587,0.00157130924,0.589,-0.00411851611,
0.437,0.00145092506,0.62,0.001384803611,0.636,-0.01060109865,
0.457,0.001453798891,0.653,-0.0006212297565,0.671,-0.01740798168,
0.477,0.001456270379,0.684,-0.002292399259,0.688,-0.02032720484,
0.497,0.001458923884,0.717,-0.003658227423,0.734,-0.02894067578,
0.517,0.001461775277,0.754,-0.007223287368,0.754,-0.03259778023,
0.537,0.001464439377,0.796,-0.01204971738,0.803,-0.04008598253,
0.557,0.001466946065,0.822,-0.01607685043,0.828,-0.04448554292,
0.577,0.001469243274,0.854,-0.02128878337,0.864,-0.05384276435,
0.597,0.001471589769,0.887,-0.0274926075,0.895,-0.06652656943,
0.617,0.001474192204,0.919,-0.03451852988,0.928,-0.07535031438,
0.637,0.001476955633,0.954,-0.03911006283,0.962,-0.08482832462,
0.657,0.001479605475,0.985,-0.0466441511,0.993,-0.09333699197,
0.677,0.0014817896,1.019,-0.05401346186,1.035,-0.1030231193,
0.697,0.001483621048,1.055,-0.06200824157,1.059,-0.1068105921,
0.717,0.001486061619,1.086,-0.06867050283,1.094,-0.1149020195,
0.737,0.001488155447,1.119,-0.07607467368,1.129,-0.1176972911,
0.757,0.00149031527,1.152,-0.08181375088,1.162,-0.1110422686,
0.777,0.001492506779,1.186,-0.08505994895,1.199,-0.1067197099,
0.797,0.001494081265,1.218,-0.08776126885,1.241,-0.09873154014,
0.817,0.001495059218,1.254,-0.08815669107,1.26,-0.09613956511,
0.837,0.001497211539,1.295,-0.08790129678,1.305,-0.09238679707,
0.857,0.001499434347,1.319,-0.0876873691,1.329,-0.09071347117,
0.877,0.001501665286,1.353,-0.0856418478,1.365,-0.08299234509,
0.897,0.001503724632,1.385,-0.08392503145,1.395,-0.07605767995,
0.917,0.001506093657,1.419,-0.08164895306,1.435,-0.06852758676,
0.937,0.001508079938,1.452,-0.07974857119,1.469,-0.06244715676,
