"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
0.319,0.2999937736,-0.09137234092,-0.1104004117,
0.339,0.2999937701,-0.05974461883,-0.06391492118,
0.359,0.2999937674,-0.03614086658,-0.05999139517,
0.379,0.2999937731,-0.01459446736,-0.02684195965,
0.399,0.2999937633,-0.02032533102,-0.02406011308,
0.419,0.2999937657,-0.02285137214,-0.02064282199,
0.439,0.2999937649,-0.02120221406,-0.02221655492,
0.459,0.2999937649,-0.02259043418,-0.02199941403,
0.479,0.2999937656,-0.03004893847,-0.02199139018,
0.499,0.2999937628,-0.06152058393,-0.04376960797,
0.519,0.2999937608,-0.08939664066,-0.08556279611,
0.539,0.299997092,-0.1269589961,-0.08907009016,
0.559,0.2999970931,-0.1539317966,-0.1370049236,
0.579,0.2999970857,-0.1647217572,-0.1410275802,
0.599,0.2999970866,-0.1804110557,-0.1771046489,
0.619,0.2999970903,-0.2243177891,-0.1801322128,
0.639,0.2999970846,-0.256131202,-0.222750438,
0.659,0.3,-0.2764715552,-0.2653852115,
0.679,0.2999999965,-0.2790184021,-0.2689631242,
0.699,0.3000000002,-0.2640856206,-0.2781915724,
0.719,0.3000000001,-0.2544660568,-0.2564457464,
0.739,0.3000000001,-0.2471227348,-0.2546208034,
0.759,0.3000000002,-0.2265878618,-0.2375179698,
0.779,0.3000000002,-0.2054907978,-0.2081670921,
0.799,0.3000000003,-0.2002257407,-0.2057131168,
0.819,0.3000000002,-0.2000971287,-0.1995640564,
0.839,0.3000000001,-0.2063403577,-0.1990480514,
0.859,0.3000000001,-0.2204184234,-0.205728642,
0.879,0.3,-0.2522146702,-0.2483138234,
0.899,0.3,-0.2889748812,-0.2518875782,
0.919,0.3,-0.3044552803,-0.3000440529,
0.939,0.3,-0.3336574137,-0.3040965237,
0.959,0.3000000001,-0.363632232,-0.3445730442,
0.979,0.3,-0.3823362887,-0.3479698818,
0.999,0.3,-0.4385779798,-0.3921609034,
1.019,0.3,-0.4728026986,-0.4511858375,
1.039,0.3,-0.4863529801,-0.4561392702,
1.059,0.3,-0.5215852261,-0.497431925,
1.079,0.3,-0.5311068296,-0.528315539,
1.099,0.3,-0.5387296081,-0.5309072516,
1.119,0.3,-0.549949348,-0.5483243753,
1.139,0.3,-0.5513059497,-0.5497860831,
1.159,0.3,-0.5567700863,-0.549908799,
1.179,0.3,-0.5566961765,-0.5561674787,
1.199,0.3,-0.560217917,-0.5598512305,
1.219,0.3,-0.5588692427,-0.5601603372,
1.239,0.2999999998,-0.558796227,-0.5601862487,
1.259,0.299990887,-0.5661205649,-0.5609101365,
1.279,0.299999092,-0.5693637729,-0.5686504895,
1.299,0.3000000008,-0.5626185536,-0.5692999706,
1.319,0.3000000008,-0.562859416,-0.5693544699,
1.339,0.3000000007,-0.5598344207,-0.5606277665,
1.359,0.3000000008,-0.5535232425,-0.5598954121,
1.379,0.3000000004,-0.5457136035,-0.5598339464,
1.399,0.3000000003,-0.5128982663,-0.5332967564,
1.419,0.3000000002,-0.4746736884,-0.4974489014,
1.439,0.3000000002,-0.4326067865,-0.4944139313,
1.459,0.3000000001,-0.3909742534,-0.4377805386,
1.479,0.3,-0.3762375712,-0.3813891878,
1.499,0.3,-0.3418230116,-0.376656842,
1.519,0.2999999999,-0.3062799871,-0.3266261077,
1.539,0.2999965614,-0.2763369083,-0.3224274439,
1.559,0.2999965721,-0.2544016838,-0.2801828433,
1.579,0.2999965598,-0.2136082202,-0.2183594557,
1.599,0.2999965658,-0.1952696741,-0.213171261,
1.619,0.2999965629,-0.1621215641,-0.1663837967,
1.639,0.2999965678,-0.1369315386,-0.1624574,
1.659,0.2999965577,-0.1208173931,-0.1316854047,
1.679,0.2999965595,-0.1041952521,-0.1291029908,
1.699,0.2999965543,-0.08551838249,-0.1062759861,
1.719,0.2999965512,-0.07315345854,-0.07592362374,
1.739,0.299996556,-0.05674121901,-0.07337644253,
1.759,0.2999965597,-0.05957068875,-0.05555327621,
1.779,0.2999965602,-0.06792432815,-0.05405734751,
1.799,0.2999965641,-0.1059776247,-0.08002341562,
1.819,0.2999965664,-0.1543886513,-0.0822022002,
1.839,0.2999965763,-0.1845431626,-0.149267047,
1.859,0.2999965749,-0.2531672716,-0.244437909,
1.879,0.299996569,-0.3435163796,-0.252424676,
1.899,0.2999965919,-0.3801974058,-0.3694727088,
1.919,0.2999965733,-0.4611864686,-0.3792954726,
1.939,0.299996576,-0.5354501009,-0.4901145567,
1.959,0.2999965853,-0.5948999524,-0.4994145937,
1.979,0.2999965927,-0.6473995447,-0.5869200323,
1.999,0.3000004331,-0.6695631742,-0.6626609427,
2.019,0.2999999999,-0.6955449581,-0.6690171104,
2.039,0.2999976435,-0.7336865067,-0.7282925788,
2.059,0.2999999999,-0.7589741945,-0.7332669647,
2.079,0.3,-0.7634179592,-0.7608746566,
2.099,0.2999999995,-0.7761197686,-0.7631914387,
2.119,0.299995143,-0.7914512157,-0.7833675953,
2.139,0.2999951512,-0.8058417439,-0.8039212204,
2.159,0.2999951559,-0.8093399405,-0.805693898,
2.179,0.2999951624,-0.819997251,-0.8147035343,
2.199,0.2999951621,-0.8263206482,-0.8154648368,
2.219,0.2999951691,-0.8460595608,-0.837681517,
2.239,0.2999951725,-0.8474904299,-0.8395459131,
2.259,0.2999951829,-0.8481215239,-0.8468421293,
2.279,0.2999951786,-0.8463110328,-0.8489810856,
2.299,0.2999951751,-0.8508430123,-0.8491605601,
2.319,0.2999951735,-0.8498013616,-0.8497259376,
2.339,0.3000000011,-0.8541767001,-0.8497734347,
2.359,0.3000000011,-0.8524281383,-0.8512731559,
2.379,0.3000000009,-0.8447986841,-0.8513990366,
2.399,0.3000000006,-0.8397780061,-0.8453741755,
2.419,0.3000000003,-0.8357291222,-0.8367382927,
2.439,0.3000000002,-0.8342420459,-0.8360135401,
2.459,0.3000000003,-0.8238981962,-0.8241653557,
2.479,0.3000000002,-0.8264258504,-0.8231710314,
2.499,0.3000000003,-0.8371011019,-0.8313296021,
2.519,0.3000000003,-0.8379249573,-0.8373863732,
2.539,0.3000000002,-0.8371394277,-0.8378946314,
2.559,0.3,-0.8279039264,-0.8287572089,
2.579,0.3000000007,-0.8160473704,-0.8279469673,
2.599,0.3,-0.7969299555,-0.8033826838,
2.619,0.3000000011,-0.7766999602,-0.7776099552,
2.639,0.3000000009,-0.7513651848,-0.7754469692,
2.659,0.3000000005,-0.7358580232,-0.7391511238,
2.679,0.3000000004,-0.6956818104,-0.7361401156,
2.699,0.3000000003,-0.6554116011,-0.6808253315,
2.719,0.3000000003,-0.6300870776,-0.6761832957,
2.739,0.3000000003,-0.5647417903,-0.6011612234,
2.759,0.3000000003,-0.5110583305,-0.5948653663,
2.779,0.3000000002,-0.4753644764,-0.5180946374,
2.799,0.3000000001,-0.4611120224,-0.4658972262,
2.819,0.3000000001,-0.4352482557,-0.4615070004,
2.839,0.2999973628,-0.4222565889,-0.4292432765,
2.859,0.2999973971,-0.4171257019,-0.4265357737,
2.879,0.3,-0.41949898,-0.4179167449,
2.899,0.3000000001,-0.4146329761,-0.4149099527,
2.919,0.3000000001,-0.3994190097,-0.4146577303,
2.939,0.3000000001,-0.3820615113,-0.3916591175,
2.959,0.3000000001,-0.3756443858,-0.3769819335,
2.979,0.3000000001,-0.3783511519,-0.3757502671,
2.999,0.3000000001,-0.3770206273,-0.3769070335,
3.019,0.3000000001,-0.3747264445,-0.3770039627,
3.039,0.3,-0.3789598942,-0.378216823,
3.059,0.3,-0.3618361056,-0.3631967359,
3.079,0.3,-0.3338678479,-0.3619363496,
3.099,0.2999964355,-0.3131452203,-0.3271353346,
3.119,0.2999964272,-0.3010520041,-0.324248514,
3.139,0.2999964313,-0.2758583128,-0.290557584,
3.159,0.2999964324,-0.261662215,-0.2877301681,
3.179,0.2999964323,-0.2381124943,-0.2511173143,
3.199,0.2999964251,-0.2295499742,-0.2480446838,
3.219,0.3000000011,-0.2192318141,-0.2249455818,
3.239,0.2999999966,-0.2208343148,-0.2230070378,
3.259,0.3000000001,-0.2234953791,-0.2234520299,
3.279,0.3000000001,-0.2260416746,-0.2234695263,
3.299,0.3000000001,-0.2299444675,-0.225825322,
3.319,0.3000000002,-0.2462084293,-0.226022952,
3.339,0.3000000002,-0.2578303218,-0.2452931596,
3.359,0.3000000001,-0.2701237798,-0.2680391844,
3.379,0.3000000001,-0.267883271,-0.2699478772,
3.399,0.3000000001,-0.2627839744,-0.2656181839,
3.419,0.3000000002,-0.2475585192,-0.2554238697,
3.439,0.3000000002,-0.2293293178,-0.25456848,
3.459,0.3000000001,-0.2165370435,-0.2314477504,
3.479,0.3000000001,-0.2044577748,-0.2122261167,
3.499,0.3000000001,-0.1866796613,-0.2106236606,
3.519,0.3000000001,-0.1806962937,-0.1887001102,
3.539,0.3000000001,-0.1749203205,-0.1868603156,
3.559,0.3000000001,-0.1479750872,-0.1656114313,
3.579,0.3000000001,-0.1130163968,-0.1638031679,
3.599,0.3000000001,-0.08337732404,-0.1172644399,
3.619,0.3000000001,-0.05876069888,-0.07270789416,
3.639,0.3000000001,-0.05035505816,-0.06897642909,
3.659,0.3000000002,-0.04967739061,-0.05030492039,
3.679,0.3000000002,-0.05871794373,-0.04873797922,
3.699,0.3000000001,-0.05990653113,-0.05787403486,
3.719,0.3,-0.06117559969,-0.06089212415,
3.739,0.2999990596,-0.0706499964,-0.06114538668,
3.759,0.3,-0.07825250924,-0.07264334294,
